model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,station,interval_n,coverage,mean_width_f
Seasonal climatology,492,4.432503612087935,6.251539094286616,-2.6116391739137947,3.0,10.540000000000008,0.16666666666666666,0.3597560975609756,0.5020325203252033,-0.22530159408206774,KLAX,,,
NBM,492,3.6174796747967477,4.205358563833351,-3.408536585365854,3.4000000000000057,6.299999999999997,0.09552845528455285,0.258130081300813,0.43902439024390244,0.0,KLAX,,,
Ridge residual,492,1.612096525825425,2.267447099106588,-0.049633499336849934,1.1886817219737296,3.5974328795891157,0.43089430894308944,0.725609756097561,0.8678861788617886,0.5543592028845324,KLAX,,,
XGBoost residual,492,1.6965712283927248,2.2901772720171314,-0.08587742445430177,1.296859765052801,3.5834347081184315,0.3882113821138211,0.6747967479674797,0.8536585365853658,0.5310073916343293,KLAX,492.0,0.725609756097561,4.454860178169199
Seasonal climatology,492,10.477598562352544,13.09875056163148,-2.40301415248336,8.548872180451127,21.309915413533847,0.046747967479674794,0.09959349593495935,0.14634146341463414,-3.599374101246834,KMDW,,,
NBM,492,2.2780487804878047,2.9944392908634274,-1.3239837398373986,1.8499999999999996,4.900000000000006,0.3231707317073171,0.5386178861788617,0.709349593495935,0.0,KMDW,,,
Ridge residual,492,2.1035166192099295,2.7384423408283918,0.26959879674102294,1.7132944364150582,4.407284555837083,0.30284552845528456,0.5934959349593496,0.7886178861788617,0.07661476030399228,KMDW,,,
XGBoost residual,492,2.0538464920479824,2.6883868645860844,0.13911357250734657,1.6732422888279004,4.310824383199212,0.3170731707317073,0.573170731707317,0.774390243902439,0.09841856344788769,KMDW,492.0,0.6788617886178862,5.152470931144263
Seasonal climatology,491,3.4664839549941,4.667230433556354,-1.0362182021502844,2.7906976744186096,6.96875,0.19144602851323828,0.3665987780040733,0.539714867617108,-0.41789705256756315,KMIA,,,
NBM,491,2.4448065173116094,2.8122368625489975,-2.3283095723014258,2.299999999999997,4.200000000000003,0.15885947046843177,0.4195519348268839,0.714867617107943,0.0,KMIA,,,
Ridge residual,491,1.3404662132907275,1.747973850500835,-0.041373929742805446,1.061800930720679,2.712867542784622,0.48065173116089616,0.7739307535641547,0.9287169042769857,0.45170867150470917,KMIA,,,
XGBoost residual,491,1.1593445913042952,1.5210514397608053,0.06299751191769934,0.960270977020258,2.4264197111129704,0.5295315682281059,0.8228105906313645,0.9470468431771895,0.525792907088963,KMIA,491.0,0.7189409368635438,2.975447557244423
Seasonal climatology,492,8.43696879770692,11.0394322465444,-0.8718993545137923,6.699248120300748,17.682456140350876,0.09349593495934959,0.18292682926829268,0.25203252032520324,-2.908284199672163,KNYC,,,
NBM,492,2.158739837398374,2.7698397417760385,-1.0526422764227643,1.7999999999999972,4.400000000000006,0.3008130081300813,0.573170731707317,0.7439024390243902,0.0,KNYC,,,
Ridge residual,492,1.9972856870443214,2.6014697201569588,0.30221936125996385,1.5937592802391833,4.0441312433368735,0.3150406504065041,0.6036585365853658,0.7804878048780488,0.07479092550060618,KNYC,,,
XGBoost residual,492,1.8739994529627149,2.405697244876337,0.3098375957497079,1.5713997334241832,3.7800948458910018,0.3252032520325203,0.6077235772357723,0.8292682926829268,0.13190120435208008,KNYC,492.0,0.6971544715447154,4.907933692772859
Seasonal climatology,492,4.579909950847248,6.203792701438066,-1.568565698705548,3.447222222222223,9.881063122923587,0.17479674796747968,0.29065040650406504,0.45528455284552843,-0.6612471953825168,KSFO,,,
NBM,492,2.7569105691056914,3.5377292795357524,-1.4308943089430894,2.200000000000003,5.700000000000003,0.23577235772357724,0.4695121951219512,0.6463414634146342,0.0,KSFO,,,
Ridge residual,492,2.334090015888683,3.1046971891210378,0.4920807522482476,1.7971061240828305,5.330181063488429,0.3008130081300813,0.5508130081300813,0.7235772357723578,0.1533675259383428,KSFO,,,
XGBoost residual,492,2.3378646129651406,3.0152889315035507,0.4399975687280533,1.8772224288433819,5.064139341711999,0.3008130081300813,0.5223577235772358,0.7073170731707317,0.15199838574251767,KSFO,492.0,0.6849593495934959,5.947919925038774
