model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,month,interval_n,coverage,mean_width_f
Seasonal climatology,620,9.426342351716961,12.089482823363047,-1.8025234131113423,7.325000000000003,20.5,0.07096774193548387,0.14838709677419354,0.22419354838709676,-3.055184747477459,1,,,
NBM,620,2.3245161290322587,3.029185986686107,-1.353225806451613,1.8999999999999986,4.799999999999997,0.30483870967741933,0.5419354838709678,0.7096774193548387,0.0,1,,,
Ridge residual,620,1.8756196942153047,2.438661928230772,-0.048524990165629875,1.5261427293406342,3.722711333085066,0.34516129032258064,0.6225806451612903,0.8096774193548387,0.19311392560818164,1,,,
XGBoost residual,620,1.790370650170484,2.429483783779739,0.12475501533556417,1.3706050093285747,3.7267587924003647,0.3790322580645161,0.6693548387096774,0.8241935483870968,0.2297878135541911,1,620.0,0.7241935483870968,4.651526839183344
Station blend residual,620,1.8021010028509177,2.4017422905680803,0.05385532862052076,1.4424005174783332,3.6904154281152532,0.36612903225806454,0.6516129032258065,0.8145161290322581,0.22474145034168147,1,,,
Seasonal climatology,560,8.691628171538886,10.957480372749142,-3.6067136651958087,7.054054054054056,18.58648648648649,0.08928571428571429,0.15357142857142858,0.2125,-2.6429247631627697,2,,,
NBM,560,2.385892857142857,3.01983029324497,-1.6573214285714288,2.0,5.200000000000003,0.2839285714285714,0.5142857142857142,0.7160714285714286,0.0,2,,,
Ridge residual,560,1.946242733639733,2.5285348665695397,-0.1869368399599511,1.6404657063480954,4.041765372087857,0.3339285714285714,0.6089285714285714,0.7892857142857143,0.18427069018916953,2,,,
XGBoost residual,560,1.7534323449871903,2.3287768177176504,0.07068006595197579,1.3571276485919945,3.6732238566875406,0.3892857142857143,0.6517857142857143,0.8339285714285715,0.2650833671186089,2,560.0,0.7125,4.736352994644218
Station blend residual,560,1.8216386318522186,2.39675409298807,-0.01776332634998471,1.5242403217089944,3.7475569593615177,0.3678571428571429,0.6267857142857143,0.8285714285714286,0.2364960453280125,2,,,
Seasonal climatology,620,9.33922512886286,11.736107582927694,-3.1342424315756365,7.4744936234058486,20.723030757689422,0.06451612903225806,0.13225806451612904,0.1967741935483871,-2.4370033714578105,3,,,
NBM,620,2.717258064516129,3.5882132313379023,-1.5453225806451614,2.1000000000000014,5.910000000000007,0.2709677419354839,0.4854838709677419,0.6758064516129032,0.0,3,,,
Ridge residual,620,2.184574624504831,2.9221672028941796,-0.10783381736045565,1.5658459861050744,4.908278687510195,0.34516129032258064,0.5709677419354838,0.7209677419354839,0.19603711806672097,3,,,
XGBoost residual,620,2.0458116762267964,2.8040153010530657,0.1538750337040237,1.5159208685159697,4.55569073498249,0.36935483870967745,0.6112903225806452,0.7596774193548387,0.24710438697654558,3,620.0,0.6870967741935484,4.859678149701607
Station blend residual,620,2.071402591657467,2.8356382611565576,0.11161346768995885,1.486330405747701,4.694791729417172,0.36451612903225805,0.614516129032258,0.7419354838709677,0.23768646831624052,3,,,
Seasonal climatology,1100,8.070891774891775,10.723002255221793,-2.61896103896104,6.0,18.77,0.10727272727272727,0.20636363636363636,0.3009090909090909,-2.4697232783761094,4,,,
NBM,1100,2.3260909090909094,2.9786497856335084,-1.2884545454545455,1.9000000000000057,4.799999999999997,0.28454545454545455,0.5345454545454545,0.7281818181818182,0.0,4,,,
Ridge residual,1100,1.986491903037934,2.6870662347368475,0.26548639979659366,1.4733939628365462,4.22865219646788,0.35454545454545455,0.610909090909091,0.78,0.14599558629705434,4,,,
XGBoost residual,1100,1.8151644614494555,2.5181702320103394,0.4692823533592007,1.3490376830101027,3.8374054467678067,0.39181818181818184,0.6636363636363637,0.8181818181818182,0.21965024911306497,4,1100.0,0.7490909090909091,5.0072807309334575
Station blend residual,1100,1.8739293746409558,2.574874424078031,0.42119551988512255,1.3801666383900866,4.035073770749752,0.37454545454545457,0.6463636363636364,0.8109090909090909,0.19438687141710598,4,,,
Seasonal climatology,1240,7.89278384784368,10.27829967480759,-3.0910632863494465,6.204545454545453,16.83333333333333,0.09193548387096774,0.1774193548387097,0.25967741935483873,-2.407036124530447,5,,,
NBM,1240,2.3166129032258067,2.9276793628423357,-1.2993548387096776,2.0,4.900000000000006,0.267741935483871,0.5185483870967742,0.7258064516129032,0.0,5,,,
Ridge residual,1240,1.915840436862695,2.5597896336201607,0.3022907370218018,1.44382536099301,4.124017113240598,0.3524193548387097,0.6258064516129033,0.8016129032258065,0.17299932405843432,5,,,
XGBoost residual,1240,1.861182730580913,2.5195486503658127,0.3938405648586265,1.4106578469276414,4.0880357360839845,0.3709677419354839,0.6588709677419354,0.8137096774193548,0.19659312611559843,5,1240.0,0.7201612903225807,4.840825973170915
Station blend residual,1240,1.8728497936516944,2.513879768306211,0.3658189884663399,1.409249436855312,4.072262196399289,0.3588709677419355,0.6580645161290323,0.8129032258064516,0.19155686690520757,5,,,
Seasonal climatology,1200,6.784011386041613,9.59314600174689,-3.5955506478317845,4.5,16.349289099526086,0.12,0.24583333333333332,0.3425,-1.9942671999595167,6,,,
NBM,1200,2.265666666666667,2.859895102971436,-1.2508333333333332,1.7999999999999972,4.700000000000003,0.29333333333333333,0.545,0.7291666666666666,0.0,6,,,
Ridge residual,1200,1.8937777956056394,2.5584968825444374,0.384042886620278,1.3972283082416155,4.155400756864358,0.37416666666666665,0.62,0.8025,0.16414103474813635,6,,,
XGBoost residual,1200,1.7938555559908662,2.4574888255065463,0.3878574558283824,1.3506470143795113,3.886436403542759,0.37416666666666665,0.6683333333333333,0.8233333333333334,0.20824383287147308,6,1200.0,0.7308333333333333,4.636513241091745
Station blend residual,1200,1.799289242041873,2.4553582657438078,0.3974641654061541,1.348745188865287,4.018356762993933,0.38416666666666666,0.6633333333333333,0.8216666666666667,0.20584556037581025,6,,,
Seasonal climatology,1239,6.508934681358758,10.131558267305351,-3.5211838697385405,4.096774193548384,14.711746031746028,0.14608555286521388,0.27280064568200163,0.3922518159806295,-1.696729667347768,7,,,
NBM,1239,2.4136400322841003,3.0012789848319983,-1.562953995157385,2.0,4.900000000000006,0.2510088781275222,0.5052461662631155,0.6876513317191283,0.0,7,,,
Ridge residual,1239,1.8079080009153055,2.4103383105798475,0.24186662056462202,1.43727602342004,3.761339064823739,0.3744955609362389,0.6440677966101694,0.8167877320419693,0.25096204208859274,7,,,
XGBoost residual,1239,1.741037019906615,2.3079474364392594,0.19441153758661722,1.3840497612953158,3.618086895942694,0.38256658595641646,0.6690879741727199,0.8442292171105731,0.2786674911672644,7,1239.0,0.7199354317998385,4.564044886409992
Station blend residual,1239,1.74077996039428,2.32584466351839,0.1736403362761753,1.3990462592676352,3.6410895872116105,0.3785310734463277,0.672316384180791,0.8369652945924132,0.2787739940048445,7,,,
Seasonal climatology,820,7.404581636564328,10.633882216083578,-4.52055417700579,4.806451612903231,18.495970695970698,0.13048780487804879,0.25,0.37073170731707317,-1.7732515492750291,8,,,
NBM,820,2.67,3.285203338548431,-1.9802439024390244,2.299999999999997,5.210000000000004,0.2073170731707317,0.4317073170731707,0.6475609756097561,0.0,8,,,
Ridge residual,820,1.7654615233382196,2.3954392340187898,-0.17577334096634065,1.2847927631951563,3.9068827766899403,0.3878048780487805,0.6731707317073171,0.8219512195121951,0.33877845567856946,8,,,
XGBoost residual,820,1.6963031985220025,2.382911126614724,-0.003343185000121122,1.2224421083927126,3.9002835690975175,0.42073170731707316,0.7024390243902439,0.8439024390243902,0.3646804499917593,8,820.0,0.7353658536585366,4.390333725123145
Station blend residual,820,1.6931729061048921,2.3502147198961865,-0.08171161605419391,1.2262173831462988,3.818622979566806,0.4170731707317073,0.7,0.8378048780487805,0.36585284415547115,8,,,
Seasonal climatology,600,6.896398026315789,9.342573479161224,-3.3978078007518797,4.801926691729328,16.37467105263158,0.16166666666666665,0.2683333333333333,0.3566666666666667,-1.7633490154864924,9,,,
NBM,600,2.4956666666666667,3.019917217408451,-1.9183333333333332,2.4000000000000057,4.799999999999997,0.25,0.43833333333333335,0.6383333333333333,0.0,9,,,
Ridge residual,600,1.7268830663386923,2.2871011618445594,-0.00822458195464274,1.3364557090139257,3.7468025477596867,0.39666666666666667,0.6783333333333333,0.8266666666666667,0.30804738893868344,9,,,
XGBoost residual,600,1.732738194296757,2.3236293818410023,0.2479510465264317,1.3270037740469007,3.519238643646241,0.375,0.675,0.8416666666666667,0.30570127115129275,9,600.0,0.6883333333333334,4.19530857756237
Station blend residual,600,1.728828991175638,2.3055232282536067,0.16145123352452856,1.3103349505153261,3.791697025425278,0.38333333333333336,0.6933333333333334,0.8333333333333334,0.30726766748672174,9,,,
Seasonal climatology,620,6.456586021505376,8.549928943110325,2.321471774193548,4.84375,15.221875000000008,0.1338709677419355,0.2435483870967742,0.3419354838709677,-1.7847536231884056,10,,,
NBM,620,2.318548387096774,2.878583320920878,-1.8685483870967745,2.0,4.400000000000006,0.2564516129032258,0.5064516129032258,0.714516129032258,0.0,10,,,
Ridge residual,620,1.5549735868812482,2.1030504669327152,0.0853006212175516,1.2310026840848636,3.2077409966308315,0.4241935483870968,0.7274193548387097,0.882258064516129,0.32933313122339203,10,,,
XGBoost residual,620,1.4722173722125889,2.072042694580238,0.11299927806556725,1.1130200415849671,3.0048816239833784,0.4645161290322581,0.7435483870967742,0.8983870967741936,0.3650262464196138,10,620.0,0.7580645161290323,4.136080710690827
Station blend residual,620,1.4847929334823506,2.069016489119584,0.1264336798638794,1.1149054173165283,3.0297325477953834,0.45645161290322583,0.7419354838709677,0.8919354838709678,0.35960235216761216,10,,,
Seasonal climatology,600,7.472461988304094,9.54104983524095,0.8819649122807017,6.1885964912280755,15.689473684210526,0.10333333333333333,0.195,0.26666666666666666,-2.3916916506410892,11,,,
NBM,600,2.2031666666666667,2.7476505114976564,-1.4304999999999999,1.8999999999999986,4.410000000000007,0.2916666666666667,0.5366666666666666,0.72,0.0,11,,,
Ridge residual,600,1.8176621171120884,2.3673192518459323,0.2866652240690812,1.4791702441886088,3.7640695538546707,0.355,0.6333333333333333,0.8183333333333334,0.17497747918355933,11,,,
XGBoost residual,600,1.6709765486462278,2.2470126518244826,0.3595744468563936,1.230057631433013,3.585518660545345,0.43,0.685,0.8516666666666667,0.2415569035572005,11,600.0,0.67,3.891114848315713
Station blend residual,600,1.7025646108545756,2.2723742194288805,0.30724451676229897,1.2791398297830838,3.6373848440887904,0.405,0.6633333333333333,0.8533333333333334,0.2272193308777174,11,,,
Seasonal climatology,620,7.819942767950052,9.662710150708982,0.1099375650364198,6.450000000000003,15.63,0.05806451612903226,0.12419354838709677,0.21774193548387097,-1.9679018830368706,12,,,
NBM,620,2.6348387096774197,3.302877533303347,-1.1883870967741934,2.299999999999997,5.399999999999999,0.23870967741935484,0.45483870967741935,0.6483870967741936,0.0,12,,,
Ridge residual,620,2.144639497683867,2.9400920798742516,0.5141493315653319,1.5984839377584024,4.765045556271718,0.3467741935483871,0.5903225806451613,0.7661290322580645,0.1860452445127342,12,,,
XGBoost residual,620,2.0508152619845443,2.845841034572092,0.34468366762322816,1.5266603529453242,4.586852958500397,0.3548387096774194,0.632258064516129,0.7774193548387097,0.22165434474141943,12,620.0,0.6241935483870967,4.033745379667849
Station blend residual,620,2.055893972868191,2.856746648945267,0.39082609219862824,1.4561769723892226,4.610381097925773,0.3564516129032258,0.6129032258064516,0.7774193548387097,0.2197268222464016,12,,,
