model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,station,interval_n,coverage,mean_width_f
Seasonal climatology,492,6.827707564808009,8.929126443180476,-1.9096516152011684,5.21052631578948,15.332258064516125,0.11382113821138211,0.20121951219512196,0.29878048780487804,-1.3353949679404482,KATL,,,
NBM,492,2.923577235772358,3.524513458897727,-2.386178861788618,2.700000000000003,5.400000000000005,0.19308943089430894,0.3902439024390244,0.5670731707317073,0.0,KATL,,,
Ridge residual,492,1.950979579453227,2.5746600467192384,0.08052071351292359,1.5768891230654702,4.022426249709443,0.33739837398373984,0.6239837398373984,0.7865853658536586,0.3326738368388573,KATL,,,
XGBoost residual,492,1.8222079844047203,2.4631925724475585,0.0939800791586498,1.3346830964088525,4.012478361129754,0.3821138211382114,0.6585365853658537,0.8109756097560976,0.3767197383710218,KATL,492.0,0.7378048780487805,4.806996265895722
Station blend residual,492,1.842739055996269,2.4793416245212434,0.10178390560221869,1.3924526376301003,4.005357634425153,0.3678861788617886,0.6544715447154471,0.8150406504065041,0.3696971527042795,KATL,,,
Seasonal climatology,492,7.0901985695685745,9.46398261621807,-2.4735857276951965,4.941426146010187,16.477983870967744,0.0975609756097561,0.1910569105691057,0.29878048780487804,-1.71955850645337,KAUS,,,
NBM,492,2.607113821138212,3.1822328153447397,-1.5180894308943091,2.5,4.990000000000004,0.21951219512195122,0.42073170731707316,0.6382113821138211,0.0,KAUS,,,
Ridge residual,492,1.9008549450971044,2.645478989553127,0.26815573643825175,1.3832571363548567,3.868376195090698,0.3821138211382114,0.6443089430894309,0.7845528455284553,0.27089683247230445,KAUS,,,
XGBoost residual,492,1.9397663672038206,2.7017046832068865,0.37112938944038415,1.4467381536960602,3.9895515608787506,0.37601626016260165,0.6382113821138211,0.8008130081300813,0.2559717372228273,KAUS,492.0,0.7012195121951219,4.938425226866958
Station blend residual,492,1.8975195613903362,2.6366281567413026,0.34528550274820646,1.4703389625703878,4.008462613996387,0.37398373983739835,0.6422764227642277,0.8150406504065041,0.27217617197782407,KAUS,,,
Seasonal climatology,492,8.972393292988956,11.575153127510552,-0.9611353232598708,7.559907834101381,17.333333333333336,0.07723577235772358,0.16260162601626016,0.22560975609756098,-2.7092828335018617,KBOS,,,
NBM,492,2.4189024390243907,3.21140308215857,-1.0985772357723578,1.7999999999999972,5.089999999999998,0.29471544715447157,0.5386178861788617,0.7073170731707317,0.0,KBOS,,,
Ridge residual,492,2.06063111099407,2.840215313212815,0.16466020331151382,1.5549651158041087,4.5087630642839525,0.3434959349593496,0.6097560975609756,0.7845528455284553,0.14811317821268621,KBOS,,,
XGBoost residual,492,1.9405529291528025,2.663985260905229,0.25579216996344173,1.5254824325442264,4.092631222009652,0.3556910569105691,0.6321138211382114,0.806910569105691,0.19775477594892976,KBOS,492.0,0.7398373983739838,5.108257161244387
Station blend residual,492,1.9518325929699631,2.688416807748976,0.2430985133711343,1.5280188968873674,4.092631222009652,0.3516260162601626,0.6260162601626016,0.8028455284552846,0.19309164293654169,KBOS,,,
Seasonal climatology,492,8.440002478237345,10.709801596333522,-0.6680125953894125,7.333165322580648,18.0,0.0975609756097561,0.17276422764227642,0.23983739837398374,-2.2325091229120133,KDCA,,,
NBM,492,2.6109756097560983,3.2090636377133928,-1.550406504065041,2.200000000000003,5.299999999999997,0.22560975609756098,0.4654471544715447,0.6524390243902439,0.0,KDCA,,,
Ridge residual,492,2.1482594147054086,2.738841898276673,0.392118470242313,1.833183738616917,4.265276645780614,0.29878048780487804,0.5365853658536586,0.75,0.17721965433982512,KDCA,,,
XGBoost residual,492,2.1248240484818206,2.72903147435231,0.44552768752947947,1.766488397121428,4.2532883489131885,0.2845528455284553,0.5589430894308943,0.766260162601626,0.18619536676548698,KDCA,492.0,0.7296747967479674,5.609037464849343
Station blend residual,492,2.1847997558226826,2.769919012184599,0.37849553675396913,1.9182223649174404,4.52257300672777,0.2764227642276423,0.5203252032520326,0.7642276422764228,0.16322475489276078,KDCA,,,
Seasonal climatology,492,11.320673797718285,14.357762391649251,-5.512045673746972,9.047619047619051,24.139534883720927,0.05894308943089431,0.11382113821138211,0.16463414634146342,-3.4026333953658963,KDEN,,,
NBM,492,2.5713414634146345,3.224250716511796,-1.271341463414634,2.200000000000003,5.299999999999997,0.25203252032520324,0.4654471544715447,0.6686991869918699,0.0,KDEN,,,
Ridge residual,492,2.079184867522507,2.814050051237712,0.4479358807581736,1.5573811215944318,4.439169763577242,0.3231707317073171,0.6036585365853658,0.7723577235772358,0.19140071549990256,KDEN,,,
XGBoost residual,492,2.130191700342225,2.903271905287279,0.4657081713521381,1.5944971442222595,4.5711196494102495,0.32113821138211385,0.5873983739837398,0.7621951219512195,0.1715640529852387,KDEN,492.0,0.6849593495934959,5.1402817794523115
Station blend residual,492,2.114684603566935,2.872173445535297,0.456247582628449,1.5764693071187743,4.557269845796618,0.32113821138211385,0.6056910569105691,0.766260162601626,0.1775947949134994,KDEN,,,
Seasonal climatology,492,8.246340662091185,10.486004017171235,-4.1544696496429205,6.142857142857139,18.889256756756765,0.04878048780487805,0.11991869918699187,0.1951219512195122,-2.959402367277117,KDFW,,,
NBM,492,2.082723577235773,2.7297182617658344,-0.7997967479674799,1.5999999999999943,4.580000000000002,0.3556910569105691,0.5813008130081301,0.774390243902439,0.0,KDFW,,,
Ridge residual,492,2.0418431412781888,2.6296456545254396,0.13104455827812314,1.718128720718454,4.253580070723988,0.30691056910569103,0.5833333333333334,0.766260162601626,0.019628354143780058,KDFW,,,
XGBoost residual,492,1.9701552002334852,2.6210383159148396,0.2698848839985516,1.5553106598556,4.219307546615606,0.32926829268292684,0.6097560975609756,0.7967479674796748,0.05404864007526655,KDFW,492.0,0.6971544715447154,4.869380723971238
Station blend residual,492,1.971568741195881,2.5946456175142267,0.200901246706903,1.5644967490016697,4.188711104468754,0.34552845528455284,0.5914634146341463,0.7845528455284553,0.053369941769910056,KDFW,,,
Seasonal climatology,492,5.834933361469165,8.174640087569028,-1.304711721805008,3.714285714285708,14.867763157894734,0.16463414634146342,0.3089430894308943,0.43089430894308944,-1.024532590862362,KHOU,,,
NBM,492,2.8821138211382116,3.5285018355177358,-2.2707317073170734,2.5,5.589999999999998,0.20121951219512196,0.42276422764227645,0.5934959349593496,0.0,KHOU,,,
Ridge residual,492,1.7664431119752568,2.3787975719536654,0.17592956734100715,1.370629100588694,3.671921065983934,0.37601626016260165,0.6504065040650406,0.8353658536585366,0.3871015436587967,KHOU,,,
XGBoost residual,492,1.6168584506686141,2.268594261660997,0.3522259623418013,1.1918610095977797,3.58637868523597,0.4369918699186992,0.7195121951219512,0.8536585365853658,0.43900256859734976,KHOU,492.0,0.7215447154471545,4.234889429968184
Station blend residual,492,1.6648322313814943,2.2997711262079714,0.410938767913805,1.2374432472431494,3.6092918081415752,0.4146341463414634,0.693089430894309,0.8455284552845529,0.4223572229621332,KHOU,,,
Seasonal climatology,492,8.535791287359705,11.364737996567763,-5.083724898926365,6.110887096774192,20.400000000000006,0.09146341463414634,0.17276422764227642,0.23170731707317074,-5.341904731774351,KLAS,,,
NBM,492,1.3459349593495935,1.7643373200331587,-0.5162601626016262,1.0999999999999943,2.790000000000001,0.4878048780487805,0.8028455284552846,0.9227642276422764,0.0,KLAS,,,
Ridge residual,492,1.2366680811708537,1.7438253271444577,-0.06574392786273447,0.8836995236684899,2.7080953554296303,0.5548780487804879,0.8292682926829268,0.926829268292683,0.0811828814012987,KLAS,,,
XGBoost residual,492,1.20699570698638,1.770496050788778,0.02989026492918684,0.8503269508480997,2.7003139948844996,0.5772357723577236,0.8292682926829268,0.9166666666666666,0.10322880121217315,KLAS,492.0,0.7195121951219512,2.9275905581437285
Station blend residual,492,1.209694731173984,1.7539763487904578,-0.01263305121208571,0.87105387050768,2.7551542184414113,0.5752032520325203,0.8333333333333334,0.9105691056910569,0.10122348574811213,KLAS,,,
Seasonal climatology,492,4.432503612087935,6.251539094286616,-2.6116391739137947,3.0,10.540000000000008,0.16666666666666666,0.3597560975609756,0.5020325203252033,-0.22530159408206774,KLAX,,,
NBM,492,3.6174796747967477,4.205358563833351,-3.408536585365854,3.4000000000000057,6.299999999999997,0.09552845528455285,0.258130081300813,0.43902439024390244,0.0,KLAX,,,
Ridge residual,492,1.6748512467631864,2.3329483361530254,-0.21157266034352173,1.1913695324361981,3.6230912998488107,0.4105691056910569,0.7032520325203252,0.8495934959349594,0.537011566801052,KLAX,,,
XGBoost residual,492,1.675317342397643,2.2868197646168635,-0.08175098137642325,1.2326088964939146,3.3713119649887036,0.4024390243902439,0.6869918699186992,0.8638211382113821,0.5368827213958645,KLAX,492.0,0.7317073170731707,4.351799779985008
Station blend residual,492,1.6917824445503757,2.3102427774542256,-0.1966791755333853,1.2333259284496307,3.4421301463256087,0.3882113821138211,0.6910569105691057,0.8495934959349594,0.5323311817514412,KLAX,,,
Seasonal climatology,492,10.477598562352544,13.09875056163148,-2.40301415248336,8.548872180451127,21.309915413533847,0.046747967479674794,0.09959349593495935,0.14634146341463414,-3.599374101246834,KMDW,,,
NBM,492,2.2780487804878047,2.9944392908634274,-1.3239837398373986,1.8499999999999996,4.900000000000006,0.3231707317073171,0.5386178861788617,0.709349593495935,0.0,KMDW,,,
Ridge residual,492,2.0386352773413643,2.7013987052841677,0.14064798646803178,1.6025856236932228,4.666142048550064,0.3252032520325203,0.5955284552845529,0.7886178861788617,0.10509586326556808,KMDW,,,
XGBoost residual,492,1.9011819427378658,2.519440832742892,0.21333564348912815,1.5231570243835435,3.9817847728729223,0.34959349593495936,0.6361788617886179,0.8089430894308943,0.16543405083241436,KMDW,492.0,0.6991869918699187,4.6438390941820975
Station blend residual,492,1.939883797102478,2.567483663907431,0.17590518726523616,1.5629016213880789,4.160116842334781,0.3333333333333333,0.6178861788617886,0.8008130081300813,0.1484450141198972,KMDW,,,
Seasonal climatology,491,3.4664839549941,4.667230433556354,-1.0362182021502844,2.7906976744186096,6.96875,0.19144602851323828,0.3665987780040733,0.539714867617108,-0.41789705256756315,KMIA,,,
NBM,491,2.4448065173116094,2.8122368625489975,-2.3283095723014258,2.299999999999997,4.200000000000003,0.15885947046843177,0.4195519348268839,0.714867617107943,0.0,KMIA,,,
Ridge residual,491,1.4583380752196051,1.8978236601558804,-0.24840002851459028,1.1589603249629477,3.0591164726174753,0.439918533604888,0.7230142566191446,0.8879837067209776,0.4034955057207381,KMIA,,,
XGBoost residual,491,1.1840651705345164,1.5588078865787396,-0.025424521172117957,0.9804288625717135,2.480925250053403,0.5071283095723014,0.8411405295315683,0.9470468431771895,0.5156814405761017,KMIA,491.0,0.7169042769857433,3.018069985830609
Station blend residual,491,1.222065450925261,1.5960552128129097,-0.03554930338170734,1.019757850097676,2.5399430036544857,0.48879837067209775,0.8329938900203666,0.9389002036659878,0.5001381736052124,KMIA,,,
Seasonal climatology,492,10.91797200496839,14.278378652866108,-3.3899519190157585,8.416666666666664,23.650625,0.056910569105691054,0.12398373983739837,0.19308943089430894,-3.8158886735202167,KMSP,,,
NBM,492,2.267073170731707,2.8710993333762977,-1.0752032520325203,1.9000000000000057,4.790000000000001,0.29878048780487804,0.524390243902439,0.733739837398374,0.0,KMSP,,,
Ridge residual,492,1.970962352064751,2.6228883375906973,0.2547012754697405,1.4849594746807,4.137981706506378,0.3556910569105691,0.6239837398373984,0.7865853658536586,0.13061370161748465,KMSP,,,
XGBoost residual,492,1.8499574719981204,2.5009596356687895,0.31366442164209246,1.506034058332439,3.9950055885315017,0.3638211382113821,0.6544715447154471,0.8373983739837398,0.18398863526710107,KMSP,492.0,0.75,4.973860991279769
Station blend residual,492,1.834521303499905,2.4876605616459813,0.3232420614809832,1.417693206979628,4.042569811221713,0.3821138211382114,0.6666666666666666,0.8272357723577236,0.1907974885046141,KMSP,,,
Seasonal climatology,492,5.596344092348689,7.757527574237778,-1.170700412496135,3.6666666666666714,14.25,0.1524390243902439,0.31097560975609756,0.4329268292682927,-1.519583906877338,KMSY,,,
