model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,month,interval_n,coverage,mean_width_f
Seasonal climatology,620,9.426342351716961,12.089482823363047,-1.8025234131113423,7.325000000000003,20.5,0.07096774193548387,0.14838709677419354,0.22419354838709676,-3.055184747477459,1,,,
NBM,620,2.3245161290322587,3.029185986686107,-1.353225806451613,1.8999999999999986,4.799999999999997,0.30483870967741933,0.5419354838709678,0.7096774193548387,0.0,1,,,
Ridge residual,620,1.881725038794865,2.436045920556415,-0.05967225977575685,1.5326531091770867,3.654842799952219,0.3370967741935484,0.6225806451612903,0.8064516129032258,0.19048742433193455,1,,,
XGBoost residual,620,1.763847903072113,2.37870979059647,0.061241795390904644,1.310900020599366,3.6711292815208383,0.38225806451612904,0.6693548387096774,0.8338709677419355,0.24119782132617973,1,620.0,0.7129032258064516,4.601185413305799
Station blend residual,620,1.7814297351556037,2.3647181644456796,0.03216715284067283,1.4100578686797398,3.5474109723857548,0.35,0.6532258064516129,0.8387096774193549,0.23363416888948518,1,,,
Seasonal climatology,560,8.691628171538886,10.957480372749142,-3.6067136651958087,7.054054054054056,18.58648648648649,0.08928571428571429,0.15357142857142858,0.2125,-2.6429247631627697,2,,,
NBM,560,2.385892857142857,3.01983029324497,-1.6573214285714288,2.0,5.200000000000003,0.2839285714285714,0.5142857142857142,0.7160714285714286,0.0,2,,,
Ridge residual,560,1.9525634710207502,2.529292803822765,-0.17538803512354184,1.5558299384038747,4.032449965029157,0.3339285714285714,0.6053571428571428,0.7803571428571429,0.18162147760525393,2,,,
XGBoost residual,560,1.761906538812576,2.32581305135212,0.10621014925983858,1.4055676549673137,3.5407840287685364,0.3964285714285714,0.6428571428571429,0.8339285714285715,0.2615315756791836,2,560.0,0.7035714285714286,4.68030520942661
Station blend residual,560,1.815719165552133,2.3758030252923157,0.039112730604543955,1.4875900186821198,3.6393246432448616,0.38392857142857145,0.6178571428571429,0.825,0.2389770730415428,2,,,
Seasonal climatology,620,9.33922512886286,11.736107582927694,-3.1342424315756365,7.4744936234058486,20.723030757689422,0.06451612903225806,0.13225806451612904,0.1967741935483871,-2.4370033714578105,3,,,
NBM,620,2.717258064516129,3.5882132313379023,-1.5453225806451614,2.1000000000000014,5.910000000000007,0.2709677419354839,0.4854838709677419,0.6758064516129032,0.0,3,,,
Ridge residual,620,2.1896670404635254,2.924339865459637,-0.16026252416723744,1.622826085870848,4.807929416374192,0.3193548387096774,0.5741935483870968,0.7225806451612903,0.19416301710251926,3,,,
XGBoost residual,620,2.028128584082569,2.773255055017962,0.1525620938801474,1.5215104043483763,4.64434870839119,0.3596774193548387,0.6064516129032258,0.7677419354838709,0.25361208397269963,3,620.0,0.682258064516129,4.840002699044923
Station blend residual,620,2.0571760515744875,2.810822587829803,0.09780456031182809,1.4922685908638087,4.57995204313622,0.3629032258064516,0.6129032258064516,0.7516129032258064,0.24292209178121793,3,,,
Seasonal climatology,1100,8.070891774891775,10.723002255221793,-2.61896103896104,6.0,18.77,0.10727272727272727,0.20636363636363636,0.3009090909090909,-2.4697232783761094,4,,,
NBM,1100,2.3260909090909094,2.9786497856335084,-1.2884545454545455,1.9000000000000057,4.799999999999997,0.28454545454545455,0.5345454545454545,0.7281818181818182,0.0,4,,,
Ridge residual,1100,1.9969127927623607,2.7023255678196674,0.2651418009003121,1.4693743552485614,4.390838357497134,0.35818181818181816,0.6072727272727273,0.7763636363636364,0.14151558524305452,4,,,
XGBoost residual,1100,1.8114338504555214,2.5097605022710887,0.4740793608564207,1.343675261735907,3.7572010141611103,0.39181818181818184,0.6672727272727272,0.8190909090909091,0.22125406045997054,4,1100.0,0.7481818181818182,4.978122697274117
Station blend residual,1100,1.8472553721163656,2.5462114627709553,0.42111294995073895,1.3809189910786976,3.919199910287466,0.38181818181818183,0.6545454545454545,0.8109090909090909,0.20585418011959122,4,,,
Seasonal climatology,1240,7.89278384784368,10.27829967480759,-3.0910632863494465,6.204545454545453,16.83333333333333,0.09193548387096774,0.1774193548387097,0.25967741935483873,-2.407036124530447,5,,,
NBM,1240,2.3166129032258067,2.9276793628423357,-1.2993548387096776,2.0,4.900000000000006,0.267741935483871,0.5185483870967742,0.7258064516129032,0.0,5,,,
Ridge residual,1240,1.923655577252361,2.5671742939146505,0.3464950172502361,1.4567522981227228,4.178822653800126,0.3588709677419355,0.6217741935483871,0.8016129032258065,0.16962580387351966,5,,,
XGBoost residual,1240,1.8468010000366106,2.5017455267887114,0.39317786302235336,1.3787291482091035,3.9634449353814225,0.3604838709677419,0.660483870967742,0.817741935483871,0.2028012114302733,5,1240.0,0.7209677419354839,4.784439449470131
Station blend residual,1240,1.8572580965184158,2.4971205093134983,0.38370976593107736,1.4032554626464844,3.9601110485917324,0.3685483870967742,0.6596774193548387,0.8112903225806452,0.1982872520772696,5,,,
Seasonal climatology,1200,6.784011386041613,9.59314600174689,-3.5955506478317845,4.5,16.349289099526086,0.12,0.24583333333333332,0.3425,-1.9942671999595167,6,,,
NBM,1200,2.265666666666667,2.859895102971436,-1.2508333333333332,1.7999999999999972,4.700000000000003,0.29333333333333333,0.545,0.7291666666666666,0.0,6,,,
Ridge residual,1200,1.8983231604710125,2.559327103645666,0.42553459501952723,1.3870276242849755,4.205593682638804,0.36833333333333335,0.6233333333333333,0.7975,0.16213484163409797,6,,,
XGBoost residual,1200,1.7655417279172687,2.4263700605135554,0.3695017852019519,1.3556150138378058,3.865998733043669,0.385,0.6808333333333333,0.8316666666666667,0.220740740951625,6,1200.0,0.7191666666666666,4.523055908229203
Station blend residual,1200,1.7743509124483334,2.4205496987206425,0.39003977663260453,1.3634445875883117,3.8553264176845556,0.38333333333333336,0.675,0.8308333333333333,0.2168526206642638,6,,,
Seasonal climatology,1239,6.508934681358758,10.131558267305351,-3.5211838697385405,4.096774193548384,14.711746031746028,0.14608555286521388,0.27280064568200163,0.3922518159806295,-1.696729667347768,7,,,
NBM,1239,2.4136400322841003,3.0012789848319983,-1.562953995157385,2.0,4.900000000000006,0.2510088781275222,0.5052461662631155,0.6876513317191283,0.0,7,,,
Ridge residual,1239,1.8167649798035355,2.4173989902421678,0.24182456266111382,1.4399866755328645,3.829972456286589,0.3704600484261501,0.6432606941081518,0.8175948345439871,0.2472924895580738,7,,,
XGBoost residual,1239,1.7004548489836986,2.270703126214876,0.17836631349828377,1.3425476968288308,3.5580159687996007,0.38821630347054076,0.6828087167070218,0.8506860371267151,0.29548117107814664,7,1239.0,0.7167070217917676,4.446954751642506
Station blend residual,1239,1.7176646949938381,2.3019883738391296,0.16204916639863923,1.373525772844033,3.581678361818348,0.3898305084745763,0.6771589991928975,0.8442292171105731,0.28835092556516795,7,,,
Seasonal climatology,820,7.404581636564328,10.633882216083578,-4.52055417700579,4.806451612903231,18.495970695970698,0.13048780487804879,0.25,0.37073170731707317,-1.7732515492750291,8,,,
NBM,820,2.67,3.285203338548431,-1.9802439024390244,2.299999999999997,5.210000000000004,0.2073170731707317,0.4317073170731707,0.6475609756097561,0.0,8,,,
Ridge residual,820,1.7608775039098856,2.3849709482982266,-0.17122893220401497,1.2894484379211804,3.881919437826001,0.38902439024390245,0.6731707317073171,0.8280487804878048,0.3404953168876833,8,,,
XGBoost residual,820,1.6770306571609364,2.363778132894102,0.021280695060040607,1.1750891506671834,3.9718195033073416,0.4268292682926829,0.6963414634146341,0.85,0.3718986302768028,8,820.0,0.7390243902439024,4.314519490052651
Station blend residual,820,1.6590010146411973,2.315987893958222,-0.04700901501671292,1.1908140764713124,3.712263817914158,0.42804878048780487,0.6963414634146341,0.8426829268292683,0.37865130537782865,8,,,
Seasonal climatology,600,6.896398026315789,9.342573479161224,-3.3978078007518797,4.801926691729328,16.37467105263158,0.16166666666666665,0.2683333333333333,0.3566666666666667,-1.7633490154864924,9,,,
NBM,600,2.4956666666666667,3.019917217408451,-1.9183333333333332,2.4000000000000057,4.799999999999997,0.25,0.43833333333333335,0.6383333333333333,0.0,9,,,
Ridge residual,600,1.731485441753796,2.2954199521248198,0.0041580876492799375,1.354752657125232,3.754585130634574,0.3933333333333333,0.675,0.83,0.3062032422517179,9,,,
XGBoost residual,600,1.7295863132306066,2.3168219528958076,0.21428130270012938,1.348914480209345,3.5529930126667,0.385,0.68,0.8383333333333334,0.3069642126763964,9,600.0,0.6816666666666666,4.130672477612893
Station blend residual,600,1.7166176895144736,2.2951510012801903,0.15047577260900427,1.3162323449682276,3.635997290085326,0.38,0.6883333333333334,0.8366666666666667,0.3121606693544249,9,,,
Seasonal climatology,620,6.456586021505376,8.549928943110325,2.321471774193548,4.84375,15.221875000000008,0.1338709677419355,0.2435483870967742,0.3419354838709677,-1.7847536231884056,10,,,
NBM,620,2.318548387096774,2.878583320920878,-1.8685483870967745,2.0,4.400000000000006,0.2564516129032258,0.5064516129032258,0.714516129032258,0.0,10,,,
Ridge residual,620,1.5514212780439374,2.1047048419777235,0.06170523283042828,1.203854269307115,3.2000593408485916,0.43709677419354837,0.7258064516129032,0.8870967741935484,0.33086525746974527,10,,,
XGBoost residual,620,1.4630781095608645,2.051644194503707,0.1254703027882697,1.097531020641334,2.9785883897542904,0.4612903225806452,0.75,0.9048387096774193,0.3689680501372271,10,620.0,0.7580645161290323,4.1097039595678915
Station blend residual,620,1.4846550145871138,2.0632639938702484,0.12958206500688413,1.102294290065764,2.969855336693673,0.45645161290322583,0.7467741935483871,0.9016129032258065,0.35966183718677525,10,,,
Seasonal climatology,600,7.472461988304094,9.54104983524095,0.8819649122807017,6.1885964912280755,15.689473684210526,0.10333333333333333,0.195,0.26666666666666666,-2.3916916506410892,11,,,
NBM,600,2.2031666666666667,2.7476505114976564,-1.4304999999999999,1.8999999999999986,4.410000000000007,0.2916666666666667,0.5366666666666666,0.72,0.0,11,,,
Ridge residual,600,1.8063210291772065,2.3500936799376007,0.2897125716736528,1.4946232790909022,3.784491527856013,0.35333333333333333,0.6316666666666667,0.825,0.18012510968581297,11,,,
XGBoost residual,600,1.6368868029055499,2.2194920564701963,0.43736014810452845,1.1972282230854034,3.607225050926199,0.43333333333333335,0.6983333333333334,0.85,0.2570299706911794,11,600.0,0.6716666666666666,3.8659606845527854
Station blend residual,600,1.7007537601491456,2.260615263692896,0.36725537372969186,1.3282275579826646,3.635371554657835,0.39,0.665,0.85,0.22804126175241146,11,,,
Seasonal climatology,620,7.819942767950052,9.662710150708982,0.1099375650364198,6.450000000000003,15.63,0.05806451612903226,0.12419354838709677,0.21774193548387097,-1.9679018830368706,12,,,
NBM,620,2.6348387096774197,3.302877533303347,-1.1883870967741934,2.299999999999997,5.399999999999999,0.23870967741935484,0.45483870967741935,0.6483870967741936,0.0,12,,,
Ridge residual,620,2.1431073896231214,2.9337042692995134,0.5343228837160681,1.6312675681302906,4.643415193822972,0.33064516129032256,0.5919354838709677,0.7741935483870968,0.1866267252899516,12,,,
XGBoost residual,620,2.012467042136967,2.8045526994948213,0.3431836732307206,1.4537274092435872,4.340169229507456,0.34838709677419355,0.6387096774193548,0.7919354838709678,0.23620863973743922,12,620.0,0.6483870967741936,4.046741823573266
Station blend residual,620,2.035082061052236,2.829609094375346,0.42084202135066784,1.5047673872016816,4.453952138003486,0.3532258064516129,0.6290322580645161,0.7951612903225806,0.2276255644880104,12,,,
