model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,station,interval_n,coverage,mean_width_f
Seasonal climatology,492,6.827707564808009,8.929126443180476,-1.9096516152011684,5.21052631578948,15.332258064516125,0.11382113821138211,0.20121951219512196,0.29878048780487804,-1.3353949679404482,KATL,,,
NBM,492,2.923577235772358,3.524513458897727,-2.386178861788618,2.700000000000003,5.400000000000005,0.19308943089430894,0.3902439024390244,0.5670731707317073,0.0,KATL,,,
Ridge residual,492,1.9672294443563179,2.5851462425781087,0.08750889141353618,1.577702844888961,4.117761080135159,0.34146341463414637,0.6199186991869918,0.7865853658536586,0.32711562387144866,KATL,,,
XGBoost residual,492,1.78219895022732,2.4147878606473205,0.11992159992517117,1.2760679364204428,3.8846237289905527,0.3983739837398374,0.6686991869918699,0.8109756097560976,0.3904046972248044,KATL,492.0,0.7479674796747967,4.782478452286099
Station blend residual,492,1.8294161267865459,2.448737432276128,0.17307725100254115,1.3890770762681015,3.867148168104832,0.37398373983739835,0.6605691056910569,0.8150406504065041,0.37425421692228833,KATL,,,
Seasonal climatology,492,7.0901985695685745,9.46398261621807,-2.4735857276951965,4.941426146010187,16.477983870967744,0.0975609756097561,0.1910569105691057,0.29878048780487804,-1.71955850645337,KAUS,,,
NBM,492,2.607113821138212,3.1822328153447397,-1.5180894308943091,2.5,4.990000000000004,0.21951219512195122,0.42073170731707316,0.6382113821138211,0.0,KAUS,,,
Ridge residual,492,1.908354281587943,2.6407663467068065,0.26751162458382716,1.3662737543085868,3.9746015037958418,0.3780487804878049,0.6239837398373984,0.7845528455284553,0.2680203426044533,KAUS,,,
XGBoost residual,492,1.9150517564887795,2.6770122899529105,0.36069605599301263,1.44009574651718,4.0454176795482715,0.36585365853658536,0.6382113821138211,0.8028455284552846,0.26545141951159335,KAUS,492.0,0.7215447154471545,4.967255078940612
Station blend residual,492,1.8920096415896843,2.63957254216054,0.31986858716591,1.4901229441165924,3.8836452043056484,0.37601626016260165,0.6300813008130082,0.8048780487804879,0.2742895894113009,KAUS,,,
Seasonal climatology,492,8.972393292988956,11.575153127510552,-0.9611353232598708,7.559907834101381,17.333333333333336,0.07723577235772358,0.16260162601626016,0.22560975609756098,-2.7092828335018617,KBOS,,,
NBM,492,2.4189024390243907,3.21140308215857,-1.0985772357723578,1.7999999999999972,5.089999999999998,0.29471544715447157,0.5386178861788617,0.7073170731707317,0.0,KBOS,,,
Ridge residual,492,2.069558457287424,2.8472748114719724,0.14701657005426674,1.5048334896977167,4.4305310562492535,0.34552845528455284,0.6056910569105691,0.7723577235772358,0.14442251828803254,KBOS,,,
XGBoost residual,492,1.9399731079492684,2.662379311552067,0.24805516296201655,1.5390103727579127,4.0540234315395365,0.3434959349593496,0.6280487804878049,0.8028455284552846,0.19799448020247046,KBOS,492.0,0.725609756097561,5.053185098436549
Station blend residual,492,1.9477393789899746,2.677483052732135,0.23926821188108968,1.5360759459186326,4.049130729679937,0.3556910569105691,0.6260162601626016,0.7967479674796748,0.19478382113850323,KBOS,,,
Seasonal climatology,492,8.440002478237345,10.709801596333522,-0.6680125953894125,7.333165322580648,18.0,0.0975609756097561,0.17276422764227642,0.23983739837398374,-2.2325091229120133,KDCA,,,
NBM,492,2.6109756097560983,3.2090636377133928,-1.550406504065041,2.200000000000003,5.299999999999997,0.22560975609756098,0.4654471544715447,0.6524390243902439,0.0,KDCA,,,
Ridge residual,492,2.156674086534562,2.751251328869781,0.40067466181421824,1.8510526239170453,4.2632624883828925,0.29065040650406504,0.5467479674796748,0.7601626016260162,0.1739968468200186,KDCA,,,
XGBoost residual,492,2.0978552258054806,2.691763790260656,0.4274003950829759,1.737665939331059,4.178515174388882,0.266260162601626,0.5670731707317073,0.7784552845528455,0.19652438806142292,KDCA,492.0,0.7154471544715447,5.416813521930661
Station blend residual,492,2.139882755844859,2.7190859114243366,0.41486629899958766,1.8063500230867433,4.358071700509333,0.2621951219512195,0.5365853658536586,0.7804878048780488,0.1804279029459206,KDCA,,,
Seasonal climatology,492,11.320673797718285,14.357762391649251,-5.512045673746972,9.047619047619051,24.139534883720927,0.05894308943089431,0.11382113821138211,0.16463414634146342,-3.4026333953658963,KDEN,,,
NBM,492,2.5713414634146345,3.224250716511796,-1.271341463414634,2.200000000000003,5.299999999999997,0.25203252032520324,0.4654471544715447,0.6686991869918699,0.0,KDEN,,,
Ridge residual,492,2.061614472153401,2.7874385183665384,0.4191631490622365,1.5255333107218405,4.3794388011640875,0.3333333333333333,0.6036585365853658,0.7804878048780488,0.19823387850804441,KDEN,,,
XGBoost residual,492,2.054762201785011,2.8167700963898925,0.452027781936149,1.5909412056207657,4.485914919376373,0.3434959349593496,0.5975609756097561,0.774390243902439,0.20089874059107948,KDEN,492.0,0.7012195121951219,5.094016276312068
Station blend residual,492,2.060320242444839,2.811898436582009,0.47955633998741504,1.5537481058250293,4.515086823986881,0.34552845528455284,0.6056910569105691,0.774390243902439,0.19873720711180098,KDEN,,,
Seasonal climatology,492,8.246340662091185,10.486004017171235,-4.1544696496429205,6.142857142857139,18.889256756756765,0.04878048780487805,0.11991869918699187,0.1951219512195122,-2.959402367277117,KDFW,,,
NBM,492,2.082723577235773,2.7297182617658344,-0.7997967479674799,1.5999999999999943,4.580000000000002,0.3556910569105691,0.5813008130081301,0.774390243902439,0.0,KDFW,,,
Ridge residual,492,2.0436249474092834,2.626630919007069,0.12024555533925121,1.672485366026109,4.282374532901299,0.3150406504065041,0.5772357723577236,0.7703252032520326,0.018772836805536208,KDFW,,,
XGBoost residual,492,1.9112160763790365,2.563959360864485,0.27522296176019373,1.5040630519390135,4.164786953330046,0.3597560975609756,0.6300813008130082,0.8109756097560976,0.08234770217772458,KDFW,492.0,0.6890243902439024,4.717216958532614
Station blend residual,492,1.9309481017771075,2.536985882193001,0.1824342059815519,1.543133886852047,4.060813089165589,0.3597560975609756,0.6036585365853658,0.790650406504065,0.07287355706612997,KDFW,,,
Seasonal climatology,492,5.834933361469165,8.174640087569028,-1.304711721805008,3.714285714285708,14.867763157894734,0.16463414634146342,0.3089430894308943,0.43089430894308944,-1.024532590862362,KHOU,,,
NBM,492,2.8821138211382116,3.5285018355177358,-2.2707317073170734,2.5,5.589999999999998,0.20121951219512196,0.42276422764227645,0.5934959349593496,0.0,KHOU,,,
Ridge residual,492,1.7710707047733987,2.369471679123215,0.18819596790051005,1.3863333034536751,3.658850889617619,0.3678861788617886,0.6585365853658537,0.8313008130081301,0.3854959190772129,KHOU,,,
XGBoost residual,492,1.5879236754406683,2.237405860592166,0.3644384088511464,1.132381558418274,3.441994633674616,0.43089430894308944,0.725609756097561,0.8638211382113821,0.4490419969557061,KHOU,492.0,0.7276422764227642,4.153826052068578
Station blend residual,492,1.6217629978322425,2.253225247446336,0.3975651114128968,1.1744981935892156,3.491034059820965,0.4186991869918699,0.7113821138211383,0.8536585365853658,0.43730084983535733,KHOU,,,
Seasonal climatology,492,8.535791287359705,11.364737996567763,-5.083724898926365,6.110887096774192,20.400000000000006,0.09146341463414634,0.17276422764227642,0.23170731707317074,-5.341904731774351,KLAS,,,
NBM,492,1.3459349593495935,1.7643373200331587,-0.5162601626016262,1.0999999999999943,2.790000000000001,0.4878048780487805,0.8028455284552846,0.9227642276422764,0.0,KLAS,,,
Ridge residual,492,1.2108596409833048,1.7173121435790781,-0.029474769068541948,0.8931528835933591,2.5518776296055132,0.5752032520325203,0.8272357723577236,0.9207317073170732,0.10035798344339175,KLAS,,,
XGBoost residual,492,1.1637245567335661,1.7246462621435608,0.05048376620970552,0.7705782756209416,2.6066361433267646,0.5894308943089431,0.8434959349593496,0.9247967479674797,0.13537831181982096,KLAS,492.0,0.7296747967479674,2.820589342193178
Station blend residual,492,1.1956850367222913,1.7364096390828638,0.06000477286705891,0.8083997855927407,2.6357715229641387,0.573170731707317,0.8394308943089431,0.9186991869918699,0.11163237984390317,KLAS,,,
Seasonal climatology,492,4.432503612087935,6.251539094286616,-2.6116391739137947,3.0,10.540000000000008,0.16666666666666666,0.3597560975609756,0.5020325203252033,-0.22530159408206774,KLAX,,,
NBM,492,3.6174796747967477,4.205358563833351,-3.408536585365854,3.4000000000000057,6.299999999999997,0.09552845528455285,0.258130081300813,0.43902439024390244,0.0,KLAX,,,
Ridge residual,492,1.684450746108722,2.3347492444661517,-0.1871022566066948,1.2252079321210658,3.5918853676237714,0.42073170731707316,0.7032520325203252,0.8536585365853658,0.5343579238760022,KLAX,,,
XGBoost residual,492,1.6705811825527892,2.2924491322597382,-0.06908419427227218,1.2342203021049585,3.4867057204246548,0.4024390243902439,0.7012195121951219,0.8597560975609756,0.5381919643690458,KLAX,492.0,0.7398373983739838,4.391513110539777
Station blend residual,492,1.6964294849643113,2.317731138879295,-0.18171657076409467,1.2381699076317787,3.439631015069069,0.3902439024390244,0.6890243902439024,0.8556910569105691,0.5310465745575677,KLAX,,,
Seasonal climatology,492,10.477598562352544,13.09875056163148,-2.40301415248336,8.548872180451127,21.309915413533847,0.046747967479674794,0.09959349593495935,0.14634146341463414,-3.599374101246834,KMDW,,,
NBM,492,2.2780487804878047,2.9944392908634274,-1.3239837398373986,1.8499999999999996,4.900000000000006,0.3231707317073171,0.5386178861788617,0.709349593495935,0.0,KMDW,,,
Ridge residual,492,2.057636669552995,2.738138146066823,0.14102811062171508,1.6368445996305852,4.604464037260836,0.32723577235772355,0.5894308943089431,0.7764227642276422,0.0967547810313405,KMDW,,,
XGBoost residual,492,1.9157611350243067,2.5406923931972183,0.23351772718672847,1.5701181493699607,3.966761277019979,0.3516260162601626,0.6422764227642277,0.8130081300813008,0.1590341912634199,KMDW,492.0,0.6890243902439024,4.670951852202414
Station blend residual,492,1.9435153619386283,2.5800092376476176,0.2271377693755576,1.5990452242726505,4.165937287365578,0.3333333333333333,0.6341463414634146,0.8109756097560976,0.1468508582496385,KMDW,,,
Seasonal climatology,491,3.4664839549941,4.667230433556354,-1.0362182021502844,2.7906976744186096,6.96875,0.19144602851323828,0.3665987780040733,0.539714867617108,-0.41789705256756315,KMIA,,,
NBM,491,2.4448065173116094,2.8122368625489975,-2.3283095723014258,2.299999999999997,4.200000000000003,0.15885947046843177,0.4195519348268839,0.714867617107943,0.0,KMIA,,,
Ridge residual,491,1.4807005623910348,1.9081091842032758,-0.2339695888412533,1.1909452061692605,3.07941465658088,0.4154786150712831,0.7209775967413442,0.8920570264765784,0.39434857036488014,KMIA,,,
XGBoost residual,491,1.180584622091043,1.5559944961309764,-0.04578443678843113,0.9505277872085571,2.5036695480346793,0.5173116089613035,0.8411405295315683,0.9511201629327902,0.517105090430938,KMIA,491.0,0.7067209775967414,2.939754226737009
Station blend residual,491,1.2211592407167506,1.598569249321441,-0.04512700532252446,1.0240287641531012,2.5501185031264413,0.48879837067209775,0.824847250509165,0.9389002036659878,0.5005088410597097,KMIA,,,
Seasonal climatology,492,10.91797200496839,14.278378652866108,-3.3899519190157585,8.416666666666664,23.650625,0.056910569105691054,0.12398373983739837,0.19308943089430894,-3.8158886735202167,KMSP,,,
NBM,492,2.267073170731707,2.8710993333762977,-1.0752032520325203,1.9000000000000057,4.790000000000001,0.29878048780487804,0.524390243902439,0.733739837398374,0.0,KMSP,,,
Ridge residual,492,1.9605529209368942,2.6153931724457307,0.2727310109913161,1.456489428721568,4.070448235269175,0.34146341463414637,0.6138211382113821,0.790650406504065,0.13520527425053608,KMSP,,,
XGBoost residual,492,1.8294105081552094,2.4786862464328627,0.32797965642000315,1.456605052947996,3.759382798671715,0.3638211382113821,0.6443089430894309,0.8434959349593496,0.19305184685999355,KMSP,492.0,0.7378048780487805,4.90324048432938
Station blend residual,492,1.8301626533726243,2.4811720380435918,0.3508860529907258,1.4491703582116209,4.072858608442689,0.3678861788617886,0.6605691056910569,0.823170731707317,0.1927200775871155,KMSP,,,
Seasonal climatology,492,5.596344092348689,7.757527574237778,-1.170700412496135,3.6666666666666714,14.25,0.1524390243902439,0.31097560975609756,0.4329268292682927,-1.519583906877338,KMSY,,,
