model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,month,interval_n,coverage,mean_width_f
Seasonal climatology,155,7.366077003121748,9.403942317635913,-0.7741935483870964,5.612903225806448,15.09677419354838,0.05161290322580645,0.13548387096774195,0.27741935483870966,-1.9748356839079495,1,,,
NBM,155,2.4761290322580645,3.124347673850779,-1.9458064516129034,2.0,4.960000000000002,0.23870967741935484,0.5032258064516129,0.6903225806451613,0.0,1,,,
Ridge residual,155,1.7620840979164636,2.2204525332342793,-0.06205796997190298,1.5456856274551427,3.3577888475529987,0.3419354838709677,0.6387096774193548,0.8258064516129032,0.2883714560264412,1,,,
XGBoost residual,155,1.7288777077967123,2.211366755679413,0.030534209589803865,1.491719764471057,3.3325711822509754,0.36129032258064514,0.6,0.8387096774193549,0.30178206172878996,1,155.0,0.8903225806451613,7.926956886649133
Seasonal climatology,140,7.564285714285714,9.991335532064054,-0.835714285714285,6.071428571428569,16.903571428571432,0.08571428571428572,0.21428571428571427,0.30714285714285716,-1.846009137328675,2,,,
NBM,140,2.657857142857143,3.344216756474633,-2.4135714285714283,2.200000000000003,5.410000000000006,0.2714285714285714,0.4928571428571429,0.6571428571428571,0.0,2,,,
Ridge residual,140,1.7982964269876283,2.3302378884183836,-0.14158703050172167,1.5886020042077291,3.5109844121423315,0.32857142857142857,0.5928571428571429,0.8428571428571429,0.3234036555273637,2,,,
XGBoost residual,140,1.7211745121463062,2.2475189662237645,-0.05589282703985037,1.3713777750730465,3.561799309253694,0.35714285714285715,0.6714285714285714,0.8285714285714286,0.3524202319256037,2,140.0,0.9142857142857143,7.857525060296065
Seasonal climatology,170,9.851992409867174,12.422476258223133,-3.492220113851993,7.741935483870968,21.480645161290322,0.09411764705882353,0.18235294117647058,0.23529411764705882,-1.6639712258269754,3,,,
NBM,170,3.6982352941176475,4.720462340267355,-2.760588235294118,2.849999999999998,7.910000000000005,0.18235294117647058,0.35294117647058826,0.5294117647058824,0.0,3,,,
