model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,station,interval_n,coverage,mean_width_f
Seasonal climatology,475,5.333559774491596,7.089258087951417,-4.061683739339773,4.131707317073165,11.509677419354839,0.12421052631578948,0.27578947368421053,0.3873684210526316,-0.4782593610009971,KLAX,,,
NBM,475,3.607999999999999,4.204433749970945,-3.3814736842105257,3.4000000000000057,6.299999999999997,0.1031578947368421,0.2631578947368421,0.44,0.0,KLAX,,,
Ridge residual,475,1.6888905007152872,2.3333469605722037,-0.04081870384468441,1.3244093222664475,3.5076262075114912,0.40421052631578946,0.6884210526315789,0.8589473684210527,0.5319039632163838,KLAX,,,
XGBoost residual,475,1.7308908720267444,2.3453038786645637,0.025154002315119554,1.3406277537345943,3.723942635059359,0.391578947368421,0.6778947368421052,0.8547368421052631,0.5202630620768446,KLAX,475.0,0.871578947368421,6.756251896105315
Seasonal climatology,475,14.77563865507525,18.233317790862642,-7.602117270969822,12.387096774193552,30.4677595160646,0.029473684210526315,0.08,0.11578947368421053,-5.638695006773312,KMDW,,,
NBM,475,2.2256842105263153,2.946048200556128,-1.2530526315789474,1.7999999999999972,4.799999999999997,0.33263157894736844,0.5557894736842105,0.7242105263157895,0.0,KMDW,,,
Ridge residual,475,2.1171689458215868,2.745863373310037,0.25583542949414284,1.7078467545139802,4.41166573429852,0.2905263157894737,0.5578947368421052,0.7663157894736842,0.04875591253759559,KMDW,,,
XGBoost residual,475,2.0287566882264065,2.648632705040448,0.2174345090277486,1.6171190083026872,4.165603082180022,0.31157894736842107,0.5978947368421053,0.7873684210526316,0.08847954322025786,KMDW,475.0,0.8547368421052631,7.993916493028092
Seasonal climatology,474,4.724883504919178,5.956720732319589,-2.726833297426226,4.018247676325863,9.195488721804509,0.1371308016877637,0.2616033755274262,0.3924050632911392,-0.9053894685483155,KMIA,,,
NBM,474,2.4797468354430383,2.855714531467049,-2.3586497890295357,2.3500000000000014,4.400000000000004,0.16033755274261605,0.4092827004219409,0.70042194092827,0.0,KMIA,,,
Ridge residual,474,1.3056634956539699,1.6788038735581374,-0.06431164365802024,1.0914912270286976,2.7098000296951916,0.47890295358649787,0.7763713080168776,0.9345991561181435,0.4734690344223399,KMIA,,,
XGBoost residual,474,1.1746903643074922,1.5428469849659614,0.06380984343053919,0.9208947718143392,2.526633751392366,0.5274261603375527,0.8080168776371308,0.9451476793248945,0.5262861726376117,KMIA,474.0,0.869198312236287,4.712559710031816
Seasonal climatology,475,12.301193233191361,15.602954788991584,-6.208159283249628,9.892857142857146,26.845864661654133,0.05473684210526316,0.12421052631578948,0.17684210526315788,-4.7669431363658665,KNYC,,,
NBM,475,2.1330526315789475,2.7485268781658294,-0.9886315789473684,1.7999999999999972,4.360000000000005,0.30736842105263157,0.5789473684210527,0.7494736842105263,0.0,KNYC,,,
Ridge residual,475,1.9207992037340407,2.5287002182095457,0.404246209070228,1.5095352599400087,4.012531765174919,0.32421052631578945,0.6126315789473684,0.8,0.09950688731378876,KNYC,,,
XGBoost residual,475,1.8207290236730327,2.3370594285407895,0.3230479479683074,1.5076447010040397,3.5355279159545887,0.3389473684210526,0.6294736842105263,0.8315789473684211,0.14642095712130831,KNYC,475.0,0.8778947368421053,7.053724367051375
Seasonal climatology,475,5.410508515081831,7.150697427179136,-3.212793725768205,4.3548387096774235,11.195121951219512,0.10736842105263159,0.25263157894736843,0.3663157894736842,-0.9485871140070283,KSFO,,,
NBM,475,2.7766315789473683,3.5582343344624405,-1.428421052631579,2.200000000000003,5.760000000000002,0.23157894736842105,0.4652631578947368,0.64,0.0,KSFO,,,
Ridge residual,475,2.427662713965091,3.1988991252412213,0.4591667596677474,1.7980058393275868,5.49354572016999,0.29473684210526313,0.5368421052631579,0.6821052631578948,0.12568065119916738,KSFO,,,
XGBoost residual,475,2.369334470049331,3.0349731120336636,0.4507352616018373,1.8136779069900513,5.106180050224066,0.2631578947368421,0.5284210526315789,0.7073684210526315,0.1466874870927044,KSFO,475.0,0.8294736842105264,8.867891514894527
