model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,month,interval_n,coverage,mean_width_f
Seasonal climatology,31,8.985015608740893,11.07916284520067,-1.468886576482828,8.299999999999997,18.299999999999997,0.16129032258064516,0.1935483870967742,0.2903225806451613,-2.645752406688059,1,,,
NBM,31,2.464516129032258,3.175815871805684,-0.9483870967741937,1.8999999999999986,4.299999999999997,0.2903225806451613,0.5483870967741935,0.6774193548387096,0.0,1,,,
Ridge residual,31,2.2889352405512735,2.9127642301416956,-0.05574983355832559,2.1517840135744564,4.729123607703372,0.3225806451612903,0.45161290322580644,0.6774193548387096,0.07124355422657747,1,,,
XGBoost residual,31,2.1062422075579246,2.739362159697005,0.2777006458851612,1.8547543466091128,3.8080210924148616,0.25806451612903225,0.5483870967741935,0.8064516129032258,0.1453729262526745,1,31.0,0.6774193548387096,4.943226723517145
Station blend residual,31,2.0959305471968657,2.6967875930663348,0.2609145707345807,1.9899916455816395,3.8080210924148616,0.25806451612903225,0.5161290322580645,0.7741935483870968,0.14955697692273773,1,,,
Seasonal climatology,28,7.858487313844457,10.230822525065852,-0.25858383894098197,6.563223938223938,18.226351351351354,0.03571428571428571,0.17857142857142858,0.2857142857142857,-2.4761081325062357,2,,,
NBM,28,2.2607142857142866,2.8947612780923513,-1.5678571428571442,1.6999999999999993,4.490000000000001,0.25,0.6071428571428571,0.8214285714285714,0.0,2,,,
Ridge residual,28,1.8659447219876382,2.4626245239914213,-0.4707388635209003,1.5826161318192717,4.130658722773015,0.35714285714285715,0.6428571428571429,0.75,0.17462160796755377,2,,,
XGBoost residual,28,2.116030694331442,2.8102085559003562,0.059633302262852794,1.640428170561794,4.513590831756592,0.35714285714285715,0.6071428571428571,0.75,0.06399906095923613,2,28.0,0.7142857142857143,5.297494746318895
Station blend residual,28,1.952247022219401,2.572971952776728,-0.19548029025950037,1.368538344943083,4.157323338082856,0.35714285714285715,0.6071428571428571,0.8214285714285714,0.13644681481606302,2,,,
Seasonal climatology,31,7.421750598940059,8.99864531358018,-2.360307818890205,7.064516129032256,12.064516129032256,0.0967741935483871,0.12903225806451613,0.1935483870967742,-2.3784767777847544,3,,,
NBM,31,2.1967741935483875,2.712991445000364,-1.2483870967741943,1.7999999999999972,4.299999999999997,0.22580645161290322,0.5483870967741935,0.7741935483870968,0.0,3,,,
Ridge residual,31,2.151906325537058,2.5564505935035085,-0.2398830325604683,2.2055799656765913,4.156015500941308,0.22580645161290322,0.4838709677419355,0.8064516129032258,0.020424433309122025,3,,,
XGBoost residual,31,1.8387530177831635,2.4082517149487312,0.13542261306316786,1.4057773232459994,4.0493886590004,0.3225806451612903,0.6774193548387096,0.8387096774193549,0.16297586561999922,3,31.0,0.7096774193548387,4.9875605601276645
Station blend residual,31,1.9321946834137682,2.4006124852575357,-0.06171372705244032,1.6121375201088881,4.357583590458887,0.3225806451612903,0.5483870967741935,0.8387096774193549,0.12044001195555354,3,,,
Seasonal climatology,55,6.264935064935067,7.845720623147054,2.3761038961038925,5.595238095238102,11.51904761904762,0.18181818181818182,0.23636363636363636,0.2909090909090909,-2.0765306122449005,4,,,
NBM,55,2.0363636363636353,2.6704442939841906,-0.8690909090909081,1.5999999999999943,3.979999999999996,0.23636363636363636,0.6727272727272727,0.8,0.0,4,,,
Ridge residual,55,2.1589972831490734,3.047679543030815,0.034826468578300636,1.7698671428214539,4.77634158709818,0.38181818181818183,0.5636363636363636,0.7636363636363637,-0.060221880117849125,4,,,
XGBoost residual,55,1.7742126756787984,2.5660381202700764,0.1625100830044966,1.3100207686424312,4.046580737438046,0.45454545454545453,0.7090909090909091,0.8,0.12873484676487534,4,55.0,0.8,5.523291020135981
Station blend residual,55,1.7312944590466341,2.5315175045536535,0.24040331376996535,1.0671383617622752,3.955540051344497,0.4727272727272727,0.6727272727272727,0.8181818181818182,0.14981075671817023,4,,,
Seasonal climatology,62,6.70591713177561,7.864166010500564,-3.533889887427866,6.204545454545453,12.0,0.04838709677419355,0.11290322580645161,0.1774193548387097,-1.4018882852113683,5,,,
NBM,62,2.791935483870968,3.463007270399342,-1.6919354838709677,2.299999999999997,5.289999999999997,0.22580645161290322,0.46774193548387094,0.5806451612903226,0.0,5,,,
Ridge residual,62,2.4413342169991537,2.9938732829713492,-0.6326948809189016,2.2090988295602685,5.301465157757667,0.1935483870967742,0.41935483870967744,0.7903225806451613,0.125576421409893,5,,,
XGBoost residual,62,2.091683034574792,2.690675161084427,-0.529736647610702,1.6596537075936766,4.323583374470462,0.3225806451612903,0.5967741935483871,0.7419354838709677,0.25081254683051935,5,62.0,0.6935483870967742,5.193416982600763
Station blend residual,62,2.0751951316606285,2.6818644526194824,-0.37925424516325257,1.6970507346093626,4.695145722736159,0.27419354838709675,0.5806451612903226,0.7903225806451613,0.25671809264610645,5,,,
Seasonal climatology,60,6.142506153789632,7.91002504391823,-3.323979022006683,4.600000000000001,13.592890995260667,0.06666666666666667,0.18333333333333332,0.25,-1.5505215863486361,6,,,
NBM,60,2.408333333333333,3.0503824896778653,-2.2149999999999994,2.200000000000003,4.5200000000000005,0.3333333333333333,0.45,0.7333333333333333,0.0,6,,,
Ridge residual,60,1.7956701524601009,2.4199878491654467,-0.8679418542136548,1.2822557208719871,4.499938002518056,0.38333333333333336,0.65,0.8166666666666667,0.2543930162795428,6,,,
XGBoost residual,60,1.722397148075202,2.417385760128787,-0.778548878592751,1.217043399810784,4.222926778793334,0.4166666666666667,0.7166666666666667,0.8333333333333334,0.28481779318676725,6,60.0,0.8,5.220319774548208
Station blend residual,60,1.6803575964097004,2.3600626938806326,-0.7602108093205072,1.0677589248799109,3.839375137183664,0.45,0.7,0.8333333333333334,0.30227366239043574,6,,,
Seasonal climatology,62,4.924758722814726,8.694421970305289,-2.3463070438427556,2.4285714285714306,19.56631564916021,0.25806451612903225,0.3870967741935484,0.5967741935483871,-0.6468988177697572,7,,,
NBM,62,2.9903225806451617,3.4660566047161967,-2.9000000000000004,2.8500000000000014,5.47,0.14516129032258066,0.3870967741935484,0.532258064516129,0.0,7,,,
Ridge residual,62,1.798658243807223,2.297677935674192,-0.5919150582132212,1.418871965321543,3.543577792953994,0.3387096774193548,0.6290322580645161,0.8225806451612904,0.3985069519091272,7,,,
XGBoost residual,62,1.9445409694986961,2.3675491706368312,-0.28199876777587557,1.8427894651889858,3.9268445989489487,0.2903225806451613,0.6129032258064516,0.7741935483870968,0.34972200588501,7,62.0,0.7096774193548387,5.068445065136886
Station blend residual,62,1.91553354863054,2.316901839098589,-0.3466224741182324,1.7722341647939075,3.75032740607803,0.27419354838709675,0.6129032258064516,0.7903225806451613,0.3594224378905423,7,,,
Seasonal climatology,41,6.883711882138318,8.499589487112996,-6.783470659945877,5.857142857142861,13.857142857142861,0.07317073170731707,0.17073170731707318,0.2682926829268293,-1.217063528418468,8,,,
NBM,41,3.1048780487804883,3.807470192699174,-2.8902439024390256,2.9000000000000057,5.700000000000003,0.1951219512195122,0.3902439024390244,0.5609756097560976,0.0,8,,,
Ridge residual,41,2.1838688706240523,2.985743370914704,-0.898218312171784,1.6311730717458204,4.011945430323465,0.3170731707317073,0.6341463414634146,0.7073170731707317,0.29663296389955907,8,,,
XGBoost residual,41,2.1891021351988735,2.9729820644499987,-0.4320657359390734,1.5338069617748147,3.65496062636376,0.2682926829268293,0.6341463414634146,0.8048780487804879,0.294947466275304,8,41.0,0.6585365853658537,4.927145981861326
Station blend residual,41,2.1076893069731346,2.8651728367346365,-0.4476092804063031,1.463526867257059,3.3106325811453416,0.2926829268292683,0.6341463414634146,0.7560975609756098,0.32116840859467,8,,,
Seasonal climatology,30,5.532706766917295,7.451518006571382,-3.9422305764411063,4.142857142857139,12.47894736842106,0.13333333333333333,0.3333333333333333,0.4,-1.0266325153543208,9,,,
NBM,30,2.7299999999999995,3.2407303703537766,-2.7166666666666663,2.799999999999997,4.5,0.16666666666666666,0.4,0.6333333333333333,0.0,9,,,
Ridge residual,30,1.4132547937539575,1.791313434257764,-0.342666953199128,1.117397087707289,2.989363252827684,0.43333333333333335,0.7333333333333333,0.9,0.4823242513721767,9,,,
XGBoost residual,30,1.4998111271361532,1.9109307557145483,-0.732317810803653,1.081354558467865,2.584878063797955,0.43333333333333335,0.7666666666666667,0.9333333333333333,0.4506186347486617,9,30.0,0.8,4.245720451275502
Station blend residual,30,1.4613950204463806,1.881137330421634,-0.6674260474330452,1.081354558467865,2.5529616464100062,0.43333333333333335,0.7666666666666667,0.9333333333333333,0.4646904687009594,9,,,
Seasonal climatology,31,6.742943548387096,9.628302735667821,2.2577284946236573,4.40625,19.59375,0.16129032258064516,0.1935483870967742,0.3548387096774194,-1.7182217165149547,10,,,
NBM,31,2.480645161290322,2.867672991660097,-1.7064516129032252,2.4000000000000057,4.599999999999994,0.1935483870967742,0.41935483870967744,0.6451612903225806,0.0,10,,,
Ridge residual,31,1.5640354782679988,2.130184172757528,0.3550844011172889,1.1164269058791803,3.565469634131901,0.45161290322580644,0.7741935483870968,0.8387096774193549,0.3695045536240835,10,,,
XGBoost residual,31,1.2843176362975948,1.8064574609432733,0.6372004632026916,0.9022623538970933,2.8540958821773543,0.5161290322580645,0.7419354838709677,0.9354838709677419,0.4822646719736613,10,31.0,0.7741935483870968,4.194109942836147
Station blend residual,31,1.2633819911695472,1.7641532472333663,0.3633121125427448,0.8241313722368417,2.924554717540744,0.5161290322580645,0.8387096774193549,0.9032258064516129,0.49070426883932416,10,,,
Seasonal climatology,30,8.268771929824563,10.501833283213108,0.23894736842104672,6.71052631578948,18.78947368421052,0.06666666666666667,0.16666666666666666,0.26666666666666666,-1.586685692333023,11,,,
NBM,30,3.1966666666666668,3.72536351693809,-2.003333333333334,3.1000000000000014,6.0200000000000005,0.1,0.3333333333333333,0.5,0.0,11,,,
Ridge residual,30,2.0687730580855774,2.899232941407368,0.7690581341033277,1.3590539683607545,5.493897547541732,0.3,0.6666666666666666,0.8,0.35283428839867237,11,,,
XGBoost residual,30,1.9866593515376252,2.7394683731924854,0.8885836538175719,1.2716726183891218,4.363432914018626,0.4,0.7,0.7666666666666667,0.3785215792895855,11,30.0,0.7,3.825146171649293
Station blend residual,30,1.974227432825444,2.766402056817086,0.7865389063463859,1.2502028410655974,4.583064727888002,0.43333333333333335,0.7333333333333333,0.7666666666666667,0.38241060495554413,11,,,
Seasonal climatology,31,9.388813735691986,10.640182536011817,-1.9692507804370463,8.322580645161288,15.322580645161288,0.0,0.03225806451612903,0.0967741935483871,-2.35314776274714,12,,,
NBM,31,2.7999999999999985,3.5006911759933086,-1.3354838709677417,2.5,5.299999999999997,0.1935483870967742,0.45161290322580644,0.5806451612903226,0.0,12,,,
Ridge residual,31,2.219776459329278,2.9794808128682564,1.1774143759624465,1.7183752053078507,3.883576513022021,0.2903225806451613,0.5806451612903226,0.8064516129032258,0.20722269309668595,12,,,
XGBoost residual,31,2.227658473099431,3.1497888986934197,0.5677339094300466,1.6349607706069946,2.908626484870908,0.2903225806451613,0.5483870967741935,0.9032258064516129,0.2044076881787742,12,31.0,0.7096774193548387,4.33923283757702
Station blend residual,31,2.2166374684398895,3.0903411946657036,0.5920247134174116,1.6349607706069946,3.4482399589440718,0.2903225806451613,0.5483870967741935,0.8709677419354839,0.2083437612714676,12,,,
