model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,month,interval_n,coverage,mean_width_f
Seasonal climatology,155,7.556930280957336,9.724522322268287,-0.37173777315296735,6.275000000000006,15.424999999999997,0.06451612903225806,0.15483870967741936,0.2709677419354839,-2.0519129586982467,1,,,
NBM,155,2.4761290322580645,3.124347673850779,-1.9458064516129034,2.0,4.960000000000002,0.23870967741935484,0.5032258064516129,0.6903225806451613,0.0,1,,,
Ridge residual,155,1.8995637051468426,2.3705897542524883,0.13795883062386421,1.7007905544535973,3.618148251331044,0.3225806451612903,0.5870967741935483,0.8193548387096774,0.23284946769734083,1,,,
XGBoost residual,155,1.7176225596329855,2.1915507940461216,-0.19583761435843236,1.3939740180969267,3.492091016769409,0.36774193548387096,0.6064516129032258,0.8258064516129032,0.3063275228162773,1,155.0,0.7225806451612903,5.2694951761411835
Station blend residual,155,1.7848072580761474,2.238361232781377,0.10127904290653103,1.671559191239261,3.3165745680752674,0.3419354838709677,0.6129032258064516,0.8129032258064516,0.2791945674783667,1,,,
Seasonal climatology,140,7.876068670711528,10.274750869991177,-1.2702357970215112,6.071428571428569,16.539285714285718,0.09285714285714286,0.17857142857142858,0.2571428571428571,-1.9633152751938026,2,,,
NBM,140,2.657857142857143,3.344216756474633,-2.4135714285714283,2.200000000000003,5.410000000000006,0.2714285714285714,0.4928571428571429,0.6571428571428571,0.0,2,,,
Ridge residual,140,1.8663911003900642,2.4403840718304517,-0.39247153374597527,1.6553755341825642,3.7256239413260035,0.32857142857142857,0.6142857142857143,0.8428571428571429,0.29778351503733147,2,,,
XGBoost residual,140,1.585438556228099,2.0878527073705584,-0.22173624573408368,1.2589384257793341,3.188005859255785,0.37857142857142856,0.7,0.8785714285714286,0.40348992778303183,2,140.0,0.8071428571428572,4.978448385287611
Station blend residual,140,1.718020244165515,2.2112636301144333,-0.29601551942622045,1.442695204678408,3.300279001545759,0.35,0.6357142857142857,0.8642857142857143,0.3536070030014187,2,,,
Seasonal climatology,155,9.456201147060959,11.975938737822405,-3.8816978438157936,7.451612903225808,20.68702175543886,0.06451612903225806,0.18064516129032257,0.25161290322580643,-1.4867851676186778,3,,,
NBM,155,3.80258064516129,4.832083635251414,-2.9096774193548387,2.9000000000000057,8.059999999999995,0.17419354838709677,0.3419354838709677,0.5161290322580645,0.0,3,,,
Ridge residual,155,2.5598554060312093,3.458351385900822,-0.6428328144984454,1.8411374454970684,5.823313991395397,0.3161290322580645,0.535483870967742,0.6774193548387096,0.32681101470166696,3,,,
XGBoost residual,155,2.5938298155415427,3.4942614760153248,-0.49927228885312147,1.9281081914901677,5.731033407747744,0.3096774193548387,0.5225806451612903,0.6838709677419355,0.31787644823729355,3,155.0,0.5741935483870968,4.78418074933752
Station blend residual,155,2.5421796164886508,3.424331243208165,-0.5424631242226914,1.8964905997388257,5.8359178268850505,0.3032258064516129,0.5225806451612903,0.6774193548387096,0.3314593814799103,3,,,
Seasonal climatology,275,6.264450216450215,8.760984659010859,-1.7205194805194806,3.799999999999997,15.482857142857139,0.14181818181818182,0.27636363636363637,0.4254545454545455,-1.2536941516533346,4,,,
NBM,275,2.779636363636364,3.350723124124919,-2.3127272727272725,2.3999999999999986,5.5,0.17454545454545456,0.4036363636363636,0.64,0.0,4,,,
Ridge residual,275,1.8266806113366507,2.4564679495127257,-0.07959533813721852,1.333594141028783,4.03228142614644,0.3781818181818182,0.6727272727272727,0.8254545454545454,0.3428346832580078,4,,,
XGBoost residual,275,1.7709605230499403,2.290795574145969,0.06962614297054019,1.485942006111145,3.6080851650238057,0.3381818181818182,0.6327272727272727,0.8363636363636363,0.36288050256575943,4,275.0,0.7745454545454545,5.1553063419840575
Station blend residual,275,1.7152309184940178,2.2408816360391213,-0.06544495225486892,1.3796584953018112,3.5453309967398834,0.3563636363636364,0.6727272727272727,0.8545454545454545,0.38292974543975034,4,,,
Seasonal climatology,310,5.973938027517632,8.381779644502862,-2.548155015293413,4.344086021505376,13.09469696969697,0.14193548387096774,0.26129032258064516,0.3741935483870968,-1.472854571412026,5,,,
NBM,310,2.415806451612903,3.016690132386604,-1.7164516129032255,2.0999999999999943,5.0,0.25161290322580643,0.4870967741935484,0.6870967741935484,0.0,5,,,
Ridge residual,310,1.760658363639284,2.3118120997322418,0.5696170596184543,1.3754322820365594,3.8889285310554795,0.3935483870967742,0.6580645161290323,0.8225806451612904,0.2711922917236238,5,,,
XGBoost residual,310,1.8637293032445614,2.40550194808492,0.6463396549456193,1.5076649308204608,4.114457647204399,0.3548387096774194,0.635483870967742,0.8129032258064516,0.22852706101506992,5,310.0,0.7290322580645161,5.300417355318222
Station blend residual,310,1.760466154699111,2.2853858627948673,0.6245746459498449,1.3872280716896057,4.107331940809189,0.38387096774193546,0.6580645161290323,0.8225806451612904,0.27127185477804183,5,,,
Seasonal climatology,300,5.694528393156741,8.42483675747805,-2.6778585669324126,3.6666666666666714,12.930232558139537,0.13333333333333333,0.2633333333333333,0.3933333333333333,-1.4180587656716512,6,,,
NBM,300,2.355000000000001,2.9022347711146095,-1.2696666666666667,1.9000000000000057,4.900000000000006,0.2633333333333333,0.52,0.71,0.0,6,,,
Ridge residual,300,1.9356480779264178,2.6092707995332036,0.9638298427719091,1.5020563439746155,3.9941006330939004,0.3566666666666667,0.6366666666666667,0.79,0.17806875671914346,6,,,
XGBoost residual,300,1.7645707366665206,2.415270529909733,0.6220504613320031,1.3365587294101644,4.019647969007492,0.41,0.6466666666666666,0.82,0.25071306298661566,6,300.0,0.72,4.856350366870559
Station blend residual,300,1.7353369846509614,2.3895038775249606,0.6944180897772967,1.3078749589585286,3.8727303600311296,0.4066666666666667,0.68,0.8166666666666667,0.26312654579577033,6,,,
Seasonal climatology,309,5.314885034612849,8.919883889970523,-2.5544688886032163,3.2903225806451672,9.904292188749666,0.1553398058252427,0.32038834951456313,0.4692556634304207,-1.169770743421021,7,,,
NBM,309,2.4495145631067956,3.0477271493194773,-1.7174757281553399,2.0999999999999943,4.799999999999997,0.2588996763754045,0.4886731391585761,0.6504854368932039,0.0,7,,,
Ridge residual,309,1.847088134777143,2.505755597068892,0.37986161959215725,1.4702252776743734,3.640722799961867,0.3300970873786408,0.6634304207119741,0.8284789644012945,0.2459370674512653,7,,,
XGBoost residual,309,1.6565448499323867,2.109587235931871,-0.09193396474744135,1.4789653778076115,3.254617052078248,0.36245954692556637,0.6634304207119741,0.8673139158576052,0.32372524953216064,7,309.0,0.7055016181229773,4.36695356515619
Station blend residual,309,1.6944411307746088,2.2534808813499034,0.03262064812083689,1.393862479134441,3.183506952008388,0.34627831715210355,0.686084142394822,0.8737864077669902,0.30825431442812234,7,,,
Seasonal climatology,205,5.63744506215002,8.630805393637518,-3.3477743866414222,3.285714285714292,11.485714285714277,0.2048780487804878,0.3463414634146341,0.4634146341463415,-0.932892185550684,8,,,
NBM,205,2.916585365853659,3.535858125395705,-2.103902439024391,2.5,5.299999999999997,0.13658536585365855,0.37073170731707317,0.6195121951219512,0.0,8,,,
