model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,month,interval_n,coverage,mean_width_f
Seasonal climatology,155,7.556930280957336,9.724522322268287,-0.37173777315296735,6.275000000000006,15.424999999999997,0.06451612903225806,0.15483870967741936,0.2709677419354839,-2.0519129586982467,1,,,
NBM,155,2.4761290322580645,3.124347673850779,-1.9458064516129034,2.0,4.960000000000002,0.23870967741935484,0.5032258064516129,0.6903225806451613,0.0,1,,,
Ridge residual,155,1.9273163662670427,2.395331125499422,0.07192115193155688,1.7177677704480985,3.4492259880803187,0.2903225806451613,0.5806451612903226,0.8129032258064516,0.2216413841287347,1,,,
XGBoost residual,155,1.6945851262947247,2.270222536392055,-0.2435506303103705,1.3755325078964233,3.496415696144103,0.4064516129032258,0.6580645161290323,0.8387096774193549,0.31563133252818565,1,155.0,0.7354838709677419,4.8749847483250415
Station blend residual,155,1.870872064159468,2.3900667134563527,0.028848148621864703,1.6394090158373018,3.448942711074706,0.33548387096774196,0.6,0.8129032258064516,0.2444367640835916,1,,,
Seasonal climatology,140,7.876068670711528,10.274750869991177,-1.2702357970215112,6.071428571428569,16.539285714285718,0.09285714285714286,0.17857142857142858,0.2571428571428571,-1.9633152751938026,2,,,
NBM,140,2.657857142857143,3.344216756474633,-2.4135714285714283,2.200000000000003,5.410000000000006,0.2714285714285714,0.4928571428571429,0.6571428571428571,0.0,2,,,
Ridge residual,140,1.8331212052531514,2.3464903360362537,-0.3995210035571805,1.5922617096251983,3.491073775615782,0.34285714285714286,0.5714285714285714,0.8428571428571429,0.31030107837828225,2,,,
XGBoost residual,140,1.6324083734902421,2.1126251862948258,-0.2311908920388661,1.4366541579365695,3.4213598990440324,0.37857142857142856,0.6785714285714286,0.85,0.3858178653893204,2,140.0,0.7285714285714285,4.669101219778614
Station blend residual,140,1.7882156520341457,2.260912201501196,-0.3653628823952281,1.6550302260723964,3.525780928627751,0.3357142857142857,0.6,0.8428571428571429,0.3271964759882279,2,,,
Seasonal climatology,155,9.456201147060959,11.975938737822405,-3.8816978438157936,7.451612903225808,20.68702175543886,0.06451612903225806,0.18064516129032257,0.25161290322580643,-1.4867851676186778,3,,,
NBM,155,3.80258064516129,4.832083635251414,-2.9096774193548387,2.9000000000000057,8.059999999999995,0.17419354838709677,0.3419354838709677,0.5161290322580645,0.0,3,,,
Ridge residual,155,2.647818985311522,3.5690911085843595,-0.8337645430110496,1.8644052509266942,5.806258489049126,0.3032258064516129,0.5290322580645161,0.6516129032258065,0.30367841411047514,3,,,
XGBoost residual,155,2.4676636371689455,3.2800096304698827,-0.29063598667421536,1.8304203987121497,5.7295649182796415,0.2838709677419355,0.567741935483871,0.7225806451612903,0.35105554163354835,3,155.0,0.6193548387096774,4.735402280255671
Station blend residual,155,2.5364097909844943,3.4311421905877224,-0.5191580848606105,1.7667671322822684,5.66646812055092,0.3032258064516129,0.535483870967742,0.6709677419354839,0.3329767261577933,3,,,
Seasonal climatology,275,6.264450216450215,8.760984659010859,-1.7205194805194806,3.799999999999997,15.482857142857139,0.14181818181818182,0.27636363636363637,0.4254545454545455,-1.2536941516533346,4,,,
NBM,275,2.779636363636364,3.350723124124919,-2.3127272727272725,2.3999999999999986,5.5,0.17454545454545456,0.4036363636363636,0.64,0.0,4,,,
Ridge residual,275,1.830955271456931,2.431859728657407,0.04413860440339474,1.3983573882562226,3.946470676238656,0.38181818181818183,0.6436363636363637,0.8036363636363636,0.34129683457528004,4,,,
XGBoost residual,275,1.6905313164971094,2.2750239852751055,0.06620173653689451,1.2936810374259977,3.4366115903854335,0.3927272727272727,0.6909090909090909,0.8327272727272728,0.3918156566762101,4,275.0,0.7563636363636363,4.82267880491777
Station blend residual,275,1.6926108924402534,2.2696074967344964,0.014513595838106762,1.331993305907794,3.458714140898611,0.3890909090909091,0.6872727272727273,0.8363636363636363,0.39106750991487493,4,,,
Seasonal climatology,310,5.973938027517632,8.381779644502862,-2.548155015293413,4.344086021505376,13.09469696969697,0.14193548387096774,0.26129032258064516,0.3741935483870968,-1.472854571412026,5,,,
NBM,310,2.415806451612903,3.016690132386604,-1.7164516129032255,2.0999999999999943,5.0,0.25161290322580643,0.4870967741935484,0.6870967741935484,0.0,5,,,
Ridge residual,310,1.8004788082778733,2.354165407969336,0.7399983348776193,1.3960287439111028,3.9232228742188555,0.3774193548387097,0.6483870967741936,0.8129032258064516,0.2547089991105077,5,,,
XGBoost residual,310,1.7772726929283915,2.298520275632038,0.7145550904639314,1.392947161197661,3.9413519442081424,0.35161290322580646,0.6612903225806451,0.8419354838709677,0.2643149488479084,5,310.0,0.7193548387096774,4.883267600017207
Station blend residual,310,1.7443464858531401,2.258650699122447,0.6940399291555527,1.3663077735721743,3.9154362786905117,0.36129032258064514,0.6645161290322581,0.8387096774193549,0.277944437689313,5,,,
Seasonal climatology,300,5.694528393156741,8.42483675747805,-2.6778585669324126,3.6666666666666714,12.930232558139537,0.13333333333333333,0.2633333333333333,0.3933333333333333,-1.4180587656716512,6,,,
NBM,300,2.355000000000001,2.9022347711146095,-1.2696666666666667,1.9000000000000057,4.900000000000006,0.2633333333333333,0.52,0.71,0.0,6,,,
Ridge residual,300,1.946252434683627,2.598209669408663,0.9522807058144054,1.5061875026418647,4.068000200273841,0.3466666666666667,0.6033333333333334,0.78,0.173565845144957,6,,,
XGBoost residual,300,1.7617286671996124,2.4283389939672984,0.7475239334305128,1.3051076889038171,3.6379704713821415,0.39,0.65,0.8366666666666667,0.25191988653944297,6,300.0,0.7333333333333333,4.552547911276423
Station blend residual,300,1.7670136159063485,2.4274294231379923,0.7623117077987934,1.3254333482351583,3.6379704713821415,0.39,0.66,0.8333333333333334,0.2496757469612111,6,,,
Seasonal climatology,309,5.314885034612849,8.919883889970523,-2.5544688886032163,3.2903225806451672,9.904292188749666,0.1553398058252427,0.32038834951456313,0.4692556634304207,-1.169770743421021,7,,,
NBM,309,2.4495145631067956,3.0477271493194773,-1.7174757281553399,2.0999999999999943,4.799999999999997,0.2588996763754045,0.4886731391585761,0.6504854368932039,0.0,7,,,
Ridge residual,309,1.766027668513896,2.3794341879223606,0.2104116321701552,1.3756978642768587,3.50410637911451,0.3268608414239482,0.6828478964401294,0.86084142394822,0.27902952890633637,7,,,
XGBoost residual,309,1.760909755841428,2.351199120243916,0.13708482326813004,1.5035298049449892,3.405228830575939,0.3333333333333333,0.6537216828478964,0.8705501618122977,0.2811188868344545,7,309.0,0.7087378640776699,4.311392465609949
Station blend residual,309,1.7283416426852114,2.3204924210432383,0.09018764468815764,1.427379526652743,3.2670973613341627,0.343042071197411,0.6537216828478964,0.883495145631068,0.294414628630294,7,,,
Seasonal climatology,205,5.63744506215002,8.630805393637518,-3.3477743866414222,3.285714285714292,11.485714285714277,0.2048780487804878,0.3463414634146341,0.4634146341463415,-0.932892185550684,8,,,
NBM,205,2.916585365853659,3.535858125395705,-2.103902439024391,2.5,5.299999999999997,0.13658536585365855,0.37073170731707317,0.6195121951219512,0.0,8,,,
