model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,station,interval_n,coverage,mean_width_f
Seasonal climatology,492,4.432503612087935,6.251539094286616,-2.6116391739137947,3.0,10.540000000000008,0.16666666666666666,0.3597560975609756,0.5020325203252033,-0.22530159408206774,KLAX,,,
NBM,492,3.6174796747967477,4.205358563833351,-3.408536585365854,3.4000000000000057,6.299999999999997,0.09552845528455285,0.258130081300813,0.43902439024390244,0.0,KLAX,,,
Ridge residual,492,1.6166187033517407,2.252050435534623,-0.02296211246100816,1.2325214524112198,3.4819647439742027,0.42886178861788615,0.7073170731707317,0.8699186991869918,0.5531091122322416,KLAX,,,
XGBoost residual,492,1.653016900967776,2.265220680801949,-0.0860188989135308,1.3267259716987532,3.532290048599238,0.40853658536585363,0.7134146341463414,0.8597560975609756,0.5430473562893887,KLAX,492.0,0.7439024390243902,4.291807113430368
Station blend residual,492,1.644711248785291,2.2562643154036865,-0.09342140336638888,1.2695745925180333,3.509119877296773,0.4186991869918699,0.7052845528455285,0.8536585365853658,0.545343333856409,KLAX,,,
Seasonal climatology,492,10.477598562352544,13.09875056163148,-2.40301415248336,8.548872180451127,21.309915413533847,0.046747967479674794,0.09959349593495935,0.14634146341463414,-3.599374101246834,KMDW,,,
NBM,492,2.2780487804878047,2.9944392908634274,-1.3239837398373986,1.8499999999999996,4.900000000000006,0.3231707317073171,0.5386178861788617,0.709349593495935,0.0,KMDW,,,
Ridge residual,492,2.056033457338986,2.695816921463279,0.20042099189394347,1.5731902988973054,4.187698463567333,0.2967479674796748,0.5914634146341463,0.7703252032520326,0.09745854656425657,KMDW,,,
XGBoost residual,492,1.9173181470574403,2.5323869322825625,0.3001284716968864,1.5587313503026934,4.128909601271154,0.3394308943089431,0.6199186991869918,0.823170731707317,0.15835070632382164,KMDW,492.0,0.693089430894309,4.705314591719308
Station blend residual,492,1.945895407923721,2.562591256303176,0.24269608787884323,1.527887398283859,4.032728522567375,0.3130081300813008,0.6158536585365854,0.8150406504065041,0.1458060843161395,KMDW,,,
Seasonal climatology,491,3.4664839549941,4.667230433556354,-1.0362182021502844,2.7906976744186096,6.96875,0.19144602851323828,0.3665987780040733,0.539714867617108,-0.41789705256756315,KMIA,,,
NBM,491,2.4448065173116094,2.8122368625489975,-2.3283095723014258,2.299999999999997,4.200000000000003,0.15885947046843177,0.4195519348268839,0.714867617107943,0.0,KMIA,,,
Ridge residual,491,1.3641517245031927,1.791819941586933,-0.04147599794282808,1.0457094586503217,2.8267658294276004,0.48065173116089616,0.7515274949083504,0.9083503054989817,0.4420205791977112,KMIA,,,
XGBoost residual,491,1.1488203689607737,1.541866729305836,0.03498359897350561,0.9155522108077889,2.3461014747619515,0.5437881873727087,0.8391038696537678,0.9572301425661914,0.5300976331558316,KMIA,491.0,0.7270875763747454,2.9765553339678466
Station blend residual,491,1.1601311228417484,1.55647266340241,0.04476820289213575,0.9294904405737441,2.3430908683312026,0.5356415478615071,0.835030549898167,0.955193482688391,0.5254711918399714,KMIA,,,
Seasonal climatology,492,8.43696879770692,11.0394322465444,-0.8718993545137923,6.699248120300748,17.682456140350876,0.09349593495934959,0.18292682926829268,0.25203252032520324,-2.908284199672163,KNYC,,,
NBM,492,2.158739837398374,2.7698397417760385,-1.0526422764227643,1.7999999999999972,4.400000000000006,0.3008130081300813,0.573170731707317,0.7439024390243902,0.0,KNYC,,,
Ridge residual,492,1.9940273941545137,2.5665728155951406,0.31267586934728786,1.6431079236449797,4.066428353114435,0.31097560975609756,0.6097560975609756,0.7886178861788617,0.07630027499856817,KNYC,,,
XGBoost residual,492,1.8503722547723847,2.3811554539710285,0.36476858937014967,1.538371945172548,3.609252331256872,0.3333333333333333,0.6138211382113821,0.8353658536585366,0.14284610738347303,KNYC,492.0,0.6869918699186992,4.749826552818068
Station blend residual,492,1.9177874022642842,2.456724823608012,0.3700367430908939,1.5955106884241061,3.839172333111939,0.30691056910569103,0.6199186991869918,0.8191056910569106,0.11161717172203378,KNYC,,,
Seasonal climatology,492,4.579909950847248,6.203792701438066,-1.568565698705548,3.447222222222223,9.881063122923587,0.17479674796747968,0.29065040650406504,0.45528455284552843,-0.6612471953825168,KSFO,,,
NBM,492,2.7569105691056914,3.5377292795357524,-1.4308943089430894,2.200000000000003,5.700000000000003,0.23577235772357724,0.4695121951219512,0.6463414634146342,0.0,KSFO,,,
Ridge residual,492,2.3699752078719953,3.1140890950284073,0.5100812927942732,1.8242981837633216,5.236333206667367,0.2967479674796748,0.5345528455284553,0.7113821138211383,0.1403510747028741,KSFO,,,
XGBoost residual,492,2.3436136445371303,3.1153480853619744,0.5998214257979481,1.7456351518631052,5.325106991529463,0.2845528455284553,0.5426829268292683,0.7276422764227642,0.14991306907087298,KSFO,492.0,0.7073170731707317,5.669659453373767
Station blend residual,492,2.30724947812458,3.0654593022040406,0.4973290939805296,1.790904575292025,5.147148940201293,0.29878048780487804,0.540650406504065,0.733739837398374,0.16310325623909372,KSFO,,,
